#{"t_start": 1747751785.5006213, "env_id": "None"}
r,l,t
-0.9,2,6.844684
-1.0,1,6.8657
-1.0,1,6.879807
-1.0,1,6.89826
-1.0,1,6.922258
-1.0,1,6.948756
-1.0,1,6.972655
-0.9,2,7.003417
-1.0,3,7.057349
1.1,2,7.089715
-1.0,1,7.104012
-1.0,1,7.122128
-1.1,2,7.152675
-1.1,2,7.179574
-1.0,1,7.196293
-1.0,1,7.212685
-0.9,2,7.249058
-0.9,2,7.284899
-0.7,6,7.376374
-1.1,6,7.455916
-0.9,2,7.481822
-1.0,1,7.507788
-1.1,4,7.564784
-1.0,1,7.585023
-1.0,1,7.609614
-0.9,2,7.63854
-1.0,1,7.662896
-1.0,1,7.685844
-1.0,1,7.707747
-1.0,1,7.728797
-1.0,1,7.752394
-1.0,1,7.776222
-0.8,3,7.811943
-1.0,1,7.837049
-1.0,1,7.865782
-1.1,2,7.902403
-1.3,4,7.966531
-0.7,4,8.037503
-1.0,1,8.052385
-0.8,5,8.122086
-0.8,7,8.214278
-1.1,2,8.248457
-1.0,1,8.268107
-1.0,1,8.287938
-1.2,5,8.362974
-1.0,1,8.387524
-1.0,1,8.407035
-1.0,1,8.421269
-1.0,1,8.437639
-1.0,3,8.477813
-1.0,1,8.501449
-1.0,1,8.517713
-1.0,1,8.537098
-1.0,1,8.564056
-0.9,2,8.598518
-1.0,1,8.620556
-1.0,3,8.672991
-1.0,1,8.692726
-1.0,1,8.716354
-1.0,1,8.734454
-0.9,2,8.761377
-1.2,3,8.806968
-1.0,1,8.824996
-1.0,1,8.841676
-1.0,1,8.861642
-1.0,1,8.877399
-0.9,2,8.905746
-0.9,2,8.9315
-0.8,7,9.029234
-1.0,1,9.047707
-1.1,2,9.077109
-1.0,1,9.09025
-1.1,2,9.122133
-0.9,2,9.15151
-0.8,3,9.198526
-0.9,6,9.271383
-1.1,2,9.297411
-1.0,1,9.311698
-1.1,2,9.343536
-1.0,1,9.364033
-1.0,1,9.386993
1.0,1,9.407604
-1.1,2,9.449599
1.0,1,9.471488
-1.0,1,9.485684
-0.8,3,9.532167
-1.1,2,9.565212
-1.0,1,9.587443
-0.8,3,9.631222
-1.0,1,9.647299
-1.0,1,9.674034
-1.0,5,9.731644
-1.1,4,9.794345
-1.1,2,9.828714
-1.0,1,9.848206
-1.1,2,9.883706
-1.0,1,9.912977
-1.0,1,9.931697
-1.3,4,9.987635
-1.0,1,10.006538
-1.0,1,10.031493
-1.0,1,10.053002
-1.1,2,10.084913
-1.1,2,10.123564
-1.0,1,10.140867
-1.0,1,10.157241
-1.0,1,10.175974
-1.0,3,10.218548
-1.0,1,10.243186
-0.9,2,10.270882
-1.4,5,10.33601
-1.0,1,10.355819
-1.0,1,10.381525
-1.0,1,10.397015
-1.0,1,10.417889
-1.0,1,10.437728
-1.0,1,10.461729
-1.0,1,10.480686
-1.0,1,10.502111
-1.2,3,10.547599
-1.3,10,10.683501
-1.0,1,10.700666
-1.1,2,10.737098
-1.0,1,10.760198
-0.9,2,10.799755
-1.0,1,10.822654
-1.0,1,10.851331
-0.9,2,10.898939
-1.0,1,10.922738
-1.0,1,10.939228
-1.0,1,10.964757
-1.0,1,10.982544
-1.0,1,11.009249
-1.0,1,11.030694
-1.0,1,11.054324
-0.9,2,11.090162
-1.0,1,11.119392
-1.0,1,11.139941
-0.9,2,11.166079
-1.3,4,11.228447
-1.0,1,11.24676
-0.9,2,11.278197
-1.2,3,11.325558
-1.1,2,11.352751
-0.9,2,11.381169
-1.0,1,11.402217
-1.0,1,11.430443
-1.2,5,11.514633
-0.9,2,11.553405
-0.8,3,11.602668
-1.0,1,11.627937
-1.1,2,11.657979
-1.1,4,11.731106
-1.1,2,11.757646
-1.0,1,11.782927
-1.0,1,11.799433
-1.0,3,11.863381
-0.9,2,11.890354
-1.0,1,11.912898
-1.0,1,11.933879
-1.0,1,11.952395
-1.0,3,12.001136
-0.9,2,12.025817
-1.0,1,12.047004
-1.1,6,12.122917
-0.8,5,12.182703
-1.0,1,12.201495
-0.9,2,12.238933
-0.8,7,12.328274
-0.8,3,12.382158
-1.0,1,12.398063
-0.9,2,12.42913
-1.0,1,12.446608
-1.0,1,12.461974
-1.0,1,12.478543
-1.0,3,12.516835
-1.0,1,12.534566
-1.0,1,12.551168
-1.0,1,12.56647
-1.0,1,12.591266
-1.0,1,12.61367
-1.1,2,12.64154
-1.1,2,12.676068
-1.1,2,12.701833
-1.1,4,12.746511
-1.0,1,12.765722
-1.1,2,12.792166
-1.0,1,12.811856
-1.1,2,12.848707
-1.0,1,12.872207
-0.9,2,12.902059
-1.2,3,12.951379
-1.0,1,12.971221
-0.9,2,13.002525
-0.8,5,13.072453
-1.0,1,13.091442
-1.0,1,13.112862
-1.1,2,13.152353
-1.2,3,13.202744
-1.0,1,13.222694
-1.1,4,13.292116
-1.0,1,13.309653
-1.0,1,13.32706
-1.0,3,13.370559
-1.0,1,13.387863
-1.0,1,13.404701
-1.1,2,13.437385
-1.0,1,13.451711
-1.0,1,13.471935
-1.3,4,13.526778
