#{"t_start": 1747382598.029586, "env_id": "None"}
r,l,t
-1.0,3,12.642541
-1.0,3,12.728468
-1.0,1,12.751062
-1.0,1,12.799853
-1.0,1,12.825769
-1.0,1,12.849273
-1.1,2,12.895818
-1.0,1,12.945691
-1.1,2,13.005534
-1.0,1,13.028095
-1.0,1,13.051493
-1.0,1,13.098241
-1.0,3,13.21897
-0.9,2,13.270219
-1.1,2,13.33534
-1.0,1,13.352354
-1.0,1,13.377094
-1.0,1,13.419262
-1.0,1,13.445934
-1.0,1,13.468203
-0.9,2,13.532095
-1.0,1,13.553915
-1.0,1,13.576257
-1.2,3,13.664009
-1.1,2,13.706349
-0.9,2,13.750768
-1.1,4,13.961799
-0.7,4,14.179435
-1.1,2,14.251612
-1.0,1,14.274082
-1.0,1,14.298699
-0.9,4,14.424147
-1.0,1,14.455103
-1.0,1,14.480972
-1.0,1,14.504012
-1.0,1,14.530478
-0.9,2,14.625859
-1.0,1,14.652101
-1.2,3,14.734667
-1.0,1,14.798459
-1.0,1,14.823091
-1.1,2,14.882473
-1.2,3,14.970964
-1.1,2,15.028188
-1.0,1,15.050469
-1.0,1,15.073221
-1.0,1,15.127294
-1.0,1,15.156908
-1.0,1,15.216941
-1.0,1,15.2419
-0.9,2,15.306103
-1.0,1,15.329961
-1.0,1,15.381379
-1.0,1,15.406427
-1.0,5,15.621593
-0.9,2,15.688439
-1.0,1,15.714159
-1.0,1,15.73739
-1.0,1,15.761712
-1.0,1,15.805343
-0.9,2,15.863319
-1.0,1,15.903966
-1.1,2,15.984377
-1.1,2,16.062151
-1.2,3,16.221662
-1.0,1,16.251295
-1.2,3,16.334992
-1.0,1,16.357841
-1.0,1,16.381186
-1.0,1,16.407325
1.0,1,16.433022
-1.0,1,16.456375
-0.9,2,16.528636
-1.0,1,16.55176
-1.0,1,16.573676
-1.1,2,16.645898
-0.9,4,16.815478
-1.0,1,16.842722
-1.0,9,17.208525
-1.0,1,17.268498
-1.0,1,17.301155
-1.0,1,17.329387
-1.0,1,17.357357
-0.9,2,17.433181
-1.0,1,17.463596
-0.9,2,17.536628
-1.1,2,17.672212
-1.3,4,17.872997
-1.0,1,17.910342
-1.0,1,18.003108
-1.1,2,18.09839
-1.0,1,18.147856
-1.0,1,18.188231
-1.1,4,18.480151
-1.0,1,18.510626
-1.0,1,18.568216
-1.0,1,18.606686
-1.1,2,18.769947
-1.0,1,18.819665
-1.1,4,19.149005
-1.0,1,19.197884
-1.0,1,19.237985
-1.0,1,19.276405
-1.0,1,19.316898
-1.0,1,19.356755
-1.4,5,19.791923
-1.0,3,19.980128
-1.1,4,20.128587
-1.0,1,20.153418
-1.2,3,20.310217
-1.0,1,20.337325
-1.1,2,20.41003
-0.9,2,20.460017
-1.0,1,20.502874
-1.0,3,20.592163
-1.0,1,20.616899
-1.3,4,20.81409
-1.0,1,20.917404
1.0,3,20.999216
-1.0,3,21.098044
-1.0,1,21.141776
-1.0,1,21.169533
-1.2,3,21.290122
-1.0,3,21.401523
-1.1,2,21.475048
-1.0,1,21.498402
-1.0,1,21.530567
-1.0,3,21.624403
-1.0,3,21.724458
-1.0,1,21.770401
-1.0,1,21.799322
-1.0,1,21.824041
-1.0,3,21.947107
-1.0,1,21.980573
-1.0,1,22.011254
-0.9,2,22.082656
-1.1,2,22.126886
-1.0,1,22.154695
-1.0,1,22.207956
-1.1,2,22.281492
-1.3,6,22.531181
-1.1,2,22.626564
-1.0,1,22.661492
-1.2,3,22.79281
-1.1,2,22.849591
-1.0,1,22.880034
-1.2,3,22.977565
-1.0,1,23.005869
-1.0,1,23.067682
-1.0,1,23.112355
-1.1,10,23.332933
-1.0,1,23.357605
-1.1,2,23.41008
-1.0,1,23.433272
-1.0,1,23.457983
-1.0,3,23.524148
-1.0,1,23.546365
-0.8,3,23.623441
-0.9,2,23.699148
-1.0,1,23.728925
-1.1,2,23.784366
-1.1,2,23.827389
-1.0,1,23.850293
-1.1,2,23.891954
-1.0,1,23.914199
-1.0,1,23.948618
-1.0,1,23.973597
-1.0,1,24.014463
-0.8,3,24.118604
1.0,1,24.149692
-1.2,3,24.273801
-0.9,4,24.489862
-1.1,2,24.559156
-1.2,5,24.707712
-1.1,2,24.774124
-1.0,1,24.805557
-1.0,3,24.881104
-1.0,1,24.904764
-1.0,1,24.927365
-1.0,1,24.952562
-1.0,1,24.976946
-1.0,5,25.147762
-1.2,3,25.241949
-1.0,1,25.265393
-1.0,1,25.288402
-1.1,2,25.331387
