#{"t_start": 1747757839.2502089, "env_id": "None"}
r,l,t
-1.2,5,9.394472
-1.0,3,9.511283
-1.0,1,9.538134
-0.9,2,9.59714
-1.0,1,9.618023
--0.8,3,9.647974
--0.9,2,9.708049
-1.1,2,9.767035
-1.0,7,9.920933
-1.0,1,9.961433
-1.0,1,9.99286
-1.0,1,10.020732
-0.9,2,10.091507
-1.0,1,10.111279
-1.0,1,10.145093
-0.8,5,10.253031
-1.1,2,10.310889
-1.0,5,10.440348
-1.2,3,10.54182
--0.9,4,10.628807
--0.9,2,10.811912
-1.0,1,10.852081-1-1.0,3,10.926811-1-1.0,5,11.03134
-1.0,1,11.072699
--1.0,5,11.217872
-0.9,2,11.277077
-1.0,1,11.306039
-1.2,5,11.354244
-1.1,4,11.489486
-1.2,3,11.568396
-1.0,1,11.601445
-1.0,1,11.634018
-1.0,7,11.821649
-1.1,2,11.863319
-1.0,1,11.890547
-0.6,7,11.920884
-1.1,2,11.972012
--1.2,5,12.117911
-1.1,2,12.167689
-0.8,3,12.261091
-0.9,4,12.369702
-1.1,4,12.486603
-1.0,1,12.51952
-1.0,1,12.548902
-0.8,3,12.629864
-1.0,1,12.666737
-1.0,1,12.701382
-1.1,6,12.873101
-1.1,2,12.908661
-1.0,1,12.933013
-1.0,3,13.012436
-1.0,3,13.093154
-1.0,3,13.182823
-1.0,3,13.272994
-1.1,2,13.322564
-0.8,3,13.433723
-1.1,2,13.503301
-1.0,3,13.60069
-0.9,2,13.653866
-1.2,7,13.846987
-1.3,4,13.932857
-1.0,1,13.96294
-1.0,1,13.993268
-1.1,2,14.037202
-1.2,3,14.117425
-1.1,6,14.276766
-1.1,4,14.37433
-0.9,2,14.430025
-1.0,1,14.457344
-1.0,1,14.483907
-0.7,10,14.709876
-1.0,1,14.745162
-1.1,2,14.807191
-1.0,1,14.836815
-1.0,3,14.92193
-1.2,3,15.006626
-1.0,1,15.043081
-1.0,1,15.069039
-1.0,1,15.096955
-0.9,2,15.150556
-1.2,3,15.238355
-0.7,4,15.337141
-1.1,2,15.387622
-1.0,5,15.513146
-1.2,3,15.592448
-1.1,2,15.646304
-1.0,1,15.679476
-1.1,2,15.721105
-1.0,1,15.746471
-0.9,2,15.793604
-1.0,1,15.816967
-1.1,8,16.012443
-0.9,2,16.076778
-1.0,1,16.109123
-1.0,1,16.144144
-1.0,1,16.169366
-1.1,2,16.212718
-1.0,1,16.24821
-0.9,2,16.291023
-0.9,4,16.400314
-1.1,2,16.453142
-0.7,4,16.555215
-1.0,1,16.587684
-1.0,1,16.612149
-1.0,1,16.641973
1.0,3,16.732816
-1.1,4,16.85288
-1.0,1,16.887218
-1.0,1,16.919606
-1.0,1,16.95106
