#{"t_start": 1747753391.3896956, "env_id": "None"}
r,l,t
-0.9,6,5.841261
-1.0,3,5.949051
-1.1,2,6.023489
-1.0,1,6.05196
-1.0,1,6.081077
-1.0,1,6.125076
-1.0,1,6.161735
-0.9,4,6.328054
-1.0,1,6.363896
-1.5,6,6.571875
-1.0,1,6.60181
-1.0,3,6.674366
-1.2,3,6.778191
-1.1,4,6.911314
-1.1,2,6.968965
-1.0,1,7.007105
-1.2,5,7.120467
-1.0,1,7.142788
-1.0,1,7.178844
-1.1,2,7.258504
-0.9,2,7.331115
-1.1,2,7.397404
-1.0,5,7.545911
-1.0,1,7.589263
-0.9,2,7.658307
-1.1,6,7.810398
-1.1,2,7.845963
-1.0,1,7.888401
-1.2,5,8.062869
-0.9,4,8.197883
-0.9,2,8.258776
-0.6,7,8.456016
-1.1,4,8.559711
-1.0,1,8.59721
-0.9,2,8.655955
-1.0,1,8.688794
-1.0,1,8.731375
-1.1,2,8.788033
-1.2,3,8.875565
-1.0,1,8.921022
-0.9,2,8.992248
-1.0,1,9.016914
-1.0,1,9.042799
-1.3,8,9.305173
-1.0,1,9.323867
-1.0,1,9.360544
-1.1,8,9.603238
-1.0,1,9.642718
-0.8,3,9.729539
-0.9,2,9.77502
-1.0,1,9.801823
-0.9,2,9.859559
-1.0,1,9.902676
-0.9,2,9.956056
-1.0,3,10.046229
-1.0,1,10.067332
-1.2,5,10.230612
-0.9,2,10.307401
-1.0,3,10.404629
-1.3,4,10.524196
-1.0,1,10.546036
-1.0,3,10.625568
-1.1,2,10.704531
-1.0,1,10.742818
-1.1,2,10.78784
-1.0,1,10.826351
-1.0,1,10.851632
-1.0,3,10.-0.8,5,-1.0,1,10.9-1.1,2,10.907494
-1.0,1,-1.0,1,11.0-1.0,1,-1.1,2,11.112241
-1.0,1,11.1-1.0,3,11.1329
-1.0,1,11-1.0,1,11-1.2,7,11.428113
-1.1,2,11.497953
-1.0,1,11.559479
-0.9,2,11.684785
-1.0,1,11.721281
-1.0,1,11.817562
-1.0,5,12.064664
-1.0,1,12.105098
-1.0,1,12.141207
-1.0,13,12.478379
-1.0,1,12.511292
-1.1,10,12.83899
-1.0,1,12.8721
-1.2,5,13.041653
-1.0,1,13.081623
-1.0,1,13.115447
-1.0,1,13.155244
-1.0,1,13.197045
-0.7,4,13.33158
-1.0,1,13.374799
-1.2,3,13.456497
-1.1,6,13.670561
-0.9,4,13.811864
-1.0,1,13.848388
-0.9,2,13.903446
-0.8,3,13.975825
-0.9,2,14.035154
-1.0,1,14.073799
-1.0,3,14.162229
-1.1,4,14.325247
-1.0,1,14.35821
-1.0,1,14.394504
-1.0,3,14.484029
-1.2,3,14.594495
-1.0,1,14.623815
-1.0,1,14.646198
-1.1,2,14.728049
-1.0,1,14.765368
-1.1,6,14.971151
-0.9,6,15.146727
-1.2,5,15.331507
-1.0,1,15.350688
-1.2,3,15.445975
-1.0,1,15.474383
-0.9,2,15.538281
-1.0,1,15.577996
-1.0,1,15.6178
-1.0,1,15.659047
-1.0,1,15.696527
-1.0,1,15.731412
-1.0,3,15.822982
-1.0,1,15.858756
-1.0,1,15.897464
-1.0,1,15.934092
-0.9,2,16.010427
-1.0,1,16.046811
-0.8,3,16.115018
-1.0,1,16.158593
-1.0,1,16.193052
-1.0,1,16.22112
-0.9,6,16.353093
-1.0,1,16.389781
-1.0,1,16.419893
-1.2,3,16.514439
-1.0,1,16.558393
-1.0,1,16.600173
-0.9,4,16.71352
-1.2,5,16.824433
-1.0,1,16.860947
-1.0,3,16.917993
-1.0,1,16.955185
-1.0,1,16.991023
-1.0,1,17.035439
-1.0,1,17.074199
-1.1,4,17.211816
-1.1,6,17.357327
-1.1,2,17.420116
-1.0,1,17.452183
-1.1,2,17.502946
-1.0,3,17.600899
-1.2,3,17.720098
-1.0,1,17.762862
-1.0,5,17.905749
-1.0,1,17.926708
-1.0,11,18.237982
-1.3,6,18.404597
-1.0,1,18.444493
-1.1,2,18.514744
-1.0,3,18.596598
-1.1,2,18.664989
-1.2,3,18.774405
-0.8,3,18.891715
-0.9,2,18.971413
-1.0,1,19.005648
-0.9,2,19.07545
-1.0,3,19.169431
-1.0,1,19.206982
-1.0,1,19.241649
-1.0,1,19.271171
-1.1,2,19.332496
-1.2,3,19.412171
-1.1,2,19.476688
-1.0,3,19.549442
-1.0,1,19.568519
-1.0,1,19.597755
-1.0,1,19.625942
-1.0,3,19.740311
-1.0,1,19.784689
-1.0,1,19.808834
-1.2,3,19.902712
-0.9,2,19.988177
1.1,2,20.051485
-1.3,4,20.17867
-1.1,2,20.246025
-1.1,2,20.326552
-1.1,2,20.408544
-0.9,4,20.537544
-1.0,1,20.578689
-1.0,1,20.631932
-0.9,4,20.760932
-1.0,1,20.804694
-1.1,2,20.864819
-0.9,2,20.924494
-0.9,2,20.987138
-0.9,2,21.049434
-1.1,2,21.109358
-1.0,1,21.143294
-0.9,2,21.210418
-1.0,3,21.296767
-0.5,10,21.556218
-0.8,5,21.713578
-1.0,1,21.748769
-0.9,2,21.822771
-1.0,1,21.84099
-1.0,1,21.863087
-1.1,2,21.919363
-0.9,2,21.972735
-1.0,1,21.998398
-1.0,1,22.019327
-0.9,6,22.221947
-1.1,2,22.288324
-1.0,1,22.3294
-1.0,1,22.365759
-1.1,2,22.425024
-0.9,6,22.606002
-0.8,3,22.717316
-1.0,1,22.759006
-0.8,7,22.987398
-1.0,1,23.015119
-1.1,2,23.094425
-1.2,5,23.252981
-1.0,1,23.300639
