#{"t_start": 1748428079.6689258, "env_id": "None"}
r,l,t
-0.9,2,7.94696
-0.9,6,8.181103
-0.9,2,8.249504
-1.0,1,8.28666
-1-1.1,4,8.143909-0.9,4,8.467478
-1.0,1,8.510067
-1.0,1,8.535435
-1.1,2,8.593951
-1.0,1,8.631543
-1.0,1,8.657462
-0.9,2,8.715746
-1.1,2,8.774314
-1-1.0,3,8.579020.9,4,8.938888
-1-1.3,4,9.02328
-0.9,2,9.029114
-1.0,1,9.074592
--1.1,2,9.153444
--1.0,1,9.189816
-1.0,1,9.218102
-1.1,2,9.279988
-1.0,1,9.307191
--1.2,3,9.38905
-0.9,2,9.453642
-1.0,3,9.543754
-0.8,5,9.588927
-1.0,1,9.617146
-1.1,2,9.703943
--1.1,6,9.851479
-0.9,2,9.92865
-1.2,5,10.070982
-0.8,3,10.152426
-1.0,1,10.1763
-1.2,3,10.241145
-1.0,5,10.357746
-1.2,9,10.588358
-1.0,1,10.623641
-1.0,1,10.652566
-1.0,1,10.679616
-1.0,1,10.705835
-1.0,1,10.73552
-1.1,2,10.78995
-0.9,4,10.88785
-0.9,2,10.946674
-1.0,1,10.987133
-0.9,2,11.053261
-1.0,1,11.086676
-1.0,1,11.11071
-1.0,1,11.138752
-1.0,3,11.206441
-1.0,1,11.238391
-1.1,4,11.345863
-0.9,4,11.436476
-1.0,1,11.463542
-1.0,5,11.612644
-1.1,4,11.723233
-1.0,1,11.746738
-1.0,1,11.77566
-1.0,1,11.81206
-1.0,3,11.902367
-1.0,1,11.951528
-1.1,4,12.094584
-1.0,3,12.185463
-1.0,3,12.269622
-1.0,1,12.295424
-1.0,3,12.376143
-1.1,2,12.430546
-0.8,3,12.490772
-1.0,1,12.524251
-1.0,1,12.55567
-1.0,1,12.589205
-1.0,5,12.740975
-1.0,5,12.855663
-1.1,2,13.00428
-1.0,1,13.048356
-1.1,2,13.107928
-0.9,2,13.156685
-1.0,3,13.225268
-1.0,3,13.307554
-1.0,1,13.338652
-1.0,1,13.371354
-1.0,1,13.403471
-1.0,1,13.43684
-0.9,2,13.487317
-1.1,4,13.590646
-1.0,1,13.619142
-1.1,2,13.674489
-1.0,1,13.70589
-1-0.9,6,13.799869
-1.0,1,13.829944
-1.1,2,13.895205
-1.0,1,13.920434
1.0,1,13.950444
-1.1,2,14.005941
-1.0,1,14.030634
-1.3,4,14.137774
-1.0,1,14.171546
-1.0,1,14.201136
-1.1,2,14.24197
-1.1,2,14.290964
-1-1.1,2,14.295907-1.1,4,14.426689
-1.0,11,14.684841
-1.0,1,14.716289
-1.0,5,14.823669
-1.0,1,14.850483
-0.8,3,14.929477
-1.0,1,14.953449
-1.1,4,15.053967
-1.1,4,15.160596
-0.9,2,15.220255
-1.1,4,15.310235
-1.0,1,15.334885
-1.0,1,15.365307
-1.0,1,15.401794
-0.9,2,15.454171
-1.1,4,15.552606
-1.1,4,15.654154
-1.3,4,15.74988
-1.1,2,15.793797
-1.0,1,15.819304
-1.0,3,15.890894
-1.0,1,15.920324
-0.8,3,16.010166
