#{"t_start": 1747661200.3030722, "env_id": "None"}
r,l,t
-1.0,1,2.940813
-1.0,1,2.967185
-1.0,1,2.986398
-1.0,1,3.005418
-0.9,2,3.034019
-1.1,2,3.065347
-1.1,2,3.097691
-1.1,6,3.173
-1.0,1,3.195219
-1.0,3,3.236414
-1.0,1,3.254247
-1.0,1,3.273909
-1.0,1,3.297053
-1.0,1,3.314897
-1.0,1,3.338777
-0.9,2,3.367256
-1.0,1,3.38556
-1.0,1,3.404958
-1.0,1,3.423117
-0.9,2,3.461139
-1.0,1,3.484367
-1.0,1,3.501018
-1.2,3,3.539957
-1.0,1,3.558615
-0.9,4,3.606351
-1.2,3,3.644503
-1.0,1,3.663727
-1.1,2,3.696728
-1.1,2,3.724519
-1.0,1,3.74284
-1.1,2,3.777498
-1.0,1,3.796367
-1.0,1,3.814425
-0.9,2,3.837651
-1.0,1,3.852879
-0.9,2,3.886268
-1.0,1,3.905839
-1.0,1,3.924681
-1.0,1,3.946854
-1.0,1,3.962403
-0.9,2,3.995543
-1.0,1,4.015271
-1.0,1,4.032944
-1.1,4,4.081617
-0.9,2,4.108609
-1.1,2,4.140663
-1.0,3,4.178949
-1.0,1,4.197361
-1.1,2,4.2293
-1.0,1,4.247321
-1.0,1,4.265441
-1.1,2,4.295404
-1.0,1,4.323971
-1.0,1,4.342168
-1.1,2,4.368979
-1.1,2,4.392978
-0.9,2,4.424989
-1.0,1,4.44275
-1.0,3,4.485206
-1.2,3,4.521515
-0.9,2,4.549765
-1.0,1,4.568381
-1.2,7,4.661219
-1.0,1,4.678406
-1.1,2,4.711382
1.0,1,4.732281
-1.0,1,4.750335
-1.0,1,4.769222
-1.0,1,4.786987
-1.0,3,4.824848
-1.0,1,4.843592
-1.0,1,4.862258
-1.1,2,4.890194
-1.0,1,4.910155
1.0,1,4.92824
-0.7,4,4.974941
-1.0,1,4.994489
-1.1,2,5.031118
-1.0,1,5.050626
-1.0,1,5.068878
-1.2,7,5.147595
-1.0,1,5.168198
-1.0,1,5.190379
-1.0,1,5.209863
-1.1,2,5.238507
-0.9,2,5.268014
-1.0,1,5.284652
-1.0,1,5.306653
-1.3,6,5.381503
-1.0,1,5.398413
-1.1,2,5.42874
-1.0,1,5.450853
-0.9,2,5.477586
-0.9,2,5.504121
-1.0,1,5.526408
-1.0,1,5.543538
-1.1,4,5.588099
-1.0,1,5.609875
-1.0,1,5.628344
-1.0,1,5.650274
-1.0,1,5.685205
-1.0,1,5.703533
-1.0,1,5.726784
-0.9,2,5.748871
-1.0,1,5.7634
-1.0,1,5.782303
-1.0,1,5.800212
-1.1,2,5.837337
-1.1,2,5.864205
-1.2,3,5.903559
-1.0,1,5.926761
-1.0,1,5.94641
-1.0,3,5.982547
-1.1,2,6.016052
-1.1,2,6.038209
-1.0,1,6.061271
-1.0,1,6.079415
-0.9,2,6.107947
-1.1,2,6.139085
-1.0,1,6.159229
-1.2,3,6.195196
-1.0,1,6.213306
-1.0,1,6.232725
-1.0,1,6.25179
-0.9,2,6.279608
-1.0,1,6.297389
-1.0,1,6.320425
-1.0,1,6.338824
-1.0,1,6.357383
-1.0,1,6.376453
-1.0,1,6.395587
-1.0,1,6.413764
-1.0,1,6.435661
-1.0,3,6.473998
-1.0,1,6.492467
-1.0,3,6.534456
-1.0,1,6.551793
-1.1,2,6.579676
-1.2,5,6.639657
-1.0,3,6.676634
-1.0,1,6.694243
-1.0,1,6.713622
-1.0,1,6.731592
-1.0,1,6.750081
-1.0,1,6.767945
-1.1,2,6.806387
-1.2,3,6.858393
-1.0,1,6.886159
-1.0,1,6.907611
-1.1,2,6.936994
-1.0,1,6.960622
-0.8,5,7.018951
-1.0,1,7.036711
-1.0,1,7.055861
-1.0,1,7.078031
-1.0,3,7.114279
-1.1,2,7.145012
-0.9,2,7.176297
-1.0,1,7.202129
-1.0,3,7.245455
-0.9,2,7.268545
-1.1,2,7.301556
-1.0,1,7.319341
-1.0,1,7.343448
-0.9,2,7.383509
-1.0,1,7.406975
-1.0,1,7.425005
-1.0,1,7.444627
-1.0,3,7.500518
-1.0,3,7.544307
-1.3,4,7.608397
-1.0,1,7.627786
