#{"t_start": 1747383898.0977852, "env_id": "None"}
r,l,t
-1.0,1,6.282689
-1.1,2,6.319983
-1.0,1,6.347052
-1.0,1,6.370932
-1.0,1,6.393233
-1.0,1,6.416057
-1.0,3,6.463715
-1.0,1,6.487296
-1.1,4,6.546413
-1.1,2,6.58129
-1.0,1,6.606337
-0.9,2,6.64284
-0.9,6,6.729357
-1.0,1,6.754611
-0.9,2,6.790245
-1.2,3,6.837421
-1.0,1,6.863098
-1.2,3,6.912249
-1.0,1,6.93671
-1.2,5,7.009203
-1.0,1,7.031874
-1.0,1,7.055583
-0.9,2,7.091057
-1.0,1,7.113273
-1.0,1,7.136853
-1.1,2,7.1743
-1.0,3,7.222241
-1.0,1,7.247008
-0.9,2,7.284094
-1.0,1,7.305637
-0.9,2,7.340394
-1.1,2,7.377248
-1.0,1,7.40049
-1.0,1,7.424183
-1.0,1,7.447893
-1.0,1,7.472261
-1.0,1,7.495023
-0.9,2,7.529611
-1.0,1,7.552811
-0.9,2,7.591017
-1.1,4,7.653418
-1.0,1,7.679237
-1.0,1,7.701561
-1.0,1,7.724801
-1.1,2,7.760248
-1.1,4,7.820277
-1.0,1,7.843006
-1.1,2,7.880781
-0.7,4,7.940091
-1.0,1,7.968018
-1.1,2,8.004472
-0.8,7,8.100931
-1.0,1,8.125821
-1.0,1,8.149368
-1.0,1,8.173419
-1.0,1,8.196994
-0.9,2,8.232918
-1.1,2,8.269342
-1.0,1,8.294591
-1.2,3,8.342368
-1.0,1,8.368105
-1.1,2,8.406012
-1.2,5,8.475867
-0.9,2,8.511117
-1.0,1,8.534945
-0.8,3,8.582551
-0.9,2,8.618811
-1.0,1,8.642083
-1.0,1,8.664212
-1.0,1,8.688051
-0.8,3,8.736494
-0.9,2,8.770829
-1.0,1,8.795512
-0.9,2,8.832754
-1.0,1,8.855939
-1.0,1,8.881482
-0.9,2,8.918601
-1.0,1,8.941364
-0.8,3,8.987882
-1.0,1,9.012495
-1.0,1,9.034727
-1.0,1,9.060477
-0.9,6,9.146747
-1.0,1,9.170091
-1.0,1,9.194356
-1.0,1,9.218618
-1.0,1,9.24263
-1.0,1,9.268449
-1.0,3,9.31724
-1.0,1,9.340966
-1.0,1,9.366696
-1.3,4,9.430366
-0.9,2,9.465469
-1.0,1,9.487742
-1.0,3,9.535881
-1.0,1,9.558992
-1.1,2,9.595907
-1.0,1,9.621192
-1.0,1,9.644081
-1.0,1,9.667554
-1.0,1,9.691839
-1.0,3,9.737977
-0.9,6,9.821423
-1.0,1,9.846161
-1.1,2,9.88319
-1.0,1,9.907138
-1.1,2,9.943913
-1.0,1,9.966876
-1.0,1,9.991681
-1.2,3,10.040306
-1.0,1,10.06656
-1.2,3,10.113107
-1.2,3,10.161534
-0.9,2,10.196505
-1.0,1,10.219501
-1.0,3,10.268461
-1.0,1,10.292343
-1.0,1,10.317185
-1.0,1,10.340537
-1.0,1,10.36491
-1.0,1,10.38968
-1.1,2,10.426876
-1.0,1,10.450604
-1.1,2,10.487333
-0.6,5,10.562492
-1.2,3,10.612039
-1.0,1,10.638309
-1.0,1,10.66216
-0.9,2,10.696525
-1.1,2,10.732486
-1.0,1,10.755264
-1.0,1,10.779463
-1.0,1,10.802603
-1.0,1,10.826858
-1.1,2,10.862202
-1.0,1,10.889425
-1.2,3,10.938471
-1.0,1,10.962296
-1.0,1,10.986547
-1.0,1,11.010944
-1.0,1,11.033657
-1.0,1,11.057397
-1.1,2,11.093317
-1.0,1,11.11855
-1.0,3,11.16855
-1.0,3,11.215684
-1.1,2,11.253261
-1.0,1,11.276966
-1.0,1,11.30263
-1.0,1,11.32838
-1.1,2,11.36521
-1.1,2,11.401064
-0.9,2,11.435987
-1.0,1,11.461182
-1.0,1,11.485912
-1.0,1,11.511342
-1.5,6,11.595932
-0.9,2,11.632108
-1.1,2,11.66713
-0.9,2,11.701243
-1.0,1,11.72564
-1.0,1,11.748938
-0.9,2,11.783961
-1.1,2,11.82014
-1.0,1,11.843212
-1.0,1,11.865504
-1.0,1,11.891499
-1.1,2,11.927387
-1.0,1,11.951674
-1.1,2,11.986678
-1.0,3,12.033339
-1.0,1,12.057678
-0.7,4,12.119101
-0.8,5,12.188958
-1.0,1,12.212639
-0.9,2,12.251547
-1.2,3,12.299623
-1.0,1,12.323463
-1.0,1,12.348264
-1.0,1,12.373507
-1.0,1,12.396015
-1.1,2,12.43057
-1.0,1,12.455242
-1.0,1,12.480531
-1.1,2,12.519028
-1.0,1,12.543466
-0.9,2,12.577736
-1.0,1,12.601106
-1.0,1,12.624389
-1.0,7,12.72275
-1.0,1,12.748563
-0.9,2,12.789522
-0.8,7,12.891226
-1.0,1,12.919102
-1.0,1,12.946871
-1.0,1,12.973798
-1.1,2,13.015186
-1.0,1,13.03874
-1.0,1,13.062371
-1.0,1,13.0854
-1.0,1,13.108534
-0.9,2,13.147819
-1.0,1,13.172296
-0.9,4,13.238488
-1.2,3,13.288272
-1.0,1,13.317514
-1.0,1,13.342202
-0.9,4,13.41426
-1.1,2,13.459995
-1.0,1,13.490154
-1.0,3,13.549909
-1.1,2,13.591448
-1.0,3,13.643015
-1.0,3,13.699038
-1.0,1,13.723838
