#{"t_start": 1747757643.075617, "env_id": "None"}
r,l,t
-1.0,1,6.757981
-1.0,1,6.788343
-1.0,1,6.805303
-0.9,2,6.836706
-1.0,1,6.858618
-1.0,1,6.877744
-1.2,3,6.914407
-1.0,1,6.932393
-1.0,1,6.951145
-1.1,2,6.986428
-0.9,2,7.016741
-1.1,4,7.074028
-1.0,1,7.090502
-1.0,1,7.116456
-1.0,1,7.129766
-1.0,1,7.150292
-1.0,1,7.164406
-1.0,1,7.180689
-0.9,2,7.21405
-0.7,4,7.261007
-1.0,3,7.305746
-1.0,1,7.325052
-1.0,1,7.339664
-1.1,2,7.375197
-1.0,5,7.430642
-1.0,1,7.445322
-1.2,3,7.484473
-1.1,2,7.521216
-1.0,1,7.540382
-1.1,2,7.563127
1.1,2,7.592201
-1.0,3,7.630188
-1.0,1,7.654655
-1.0,1,7.675722
-1.0,1,7.695066
-1.1,2,7.720781
-1.0,1,7.734517
-0.9,2,7.765316
-0.9,2,7.794036
-1.1,6,7.876129
-1.0,1,7.894341
-1.0,1,7.909036
-1.4,5,7.975944
-1.0,1,7.999079
-1.1,2,8.03086
-0.9,4,8.078475
-1.3,4,8.127924
-0.9,4,8.180085
-1.0,3,8.225497
-1.0,1,8.240711
-1.0,1,8.254172
-1.0,1,8.273985
-1.1,2,8.302241
-1.0,1,8.320372
-1.0,3,8.3607
-1.0,1,8.380219
-0.9,2,8.41198
-1.0,5,8.475439
-1.1,2,8.503068
-1.3,4,8.550199
-1.0,3,8.594474
-1.0,1,8.616235
-1.0,1,8.630352
-1.0,1,8.650631
-1.1,2,8.685242
-0.9,2,8.715801
-0.9,2,8.750666
-1.0,1,8.768931
-1.0,1,8.791669
-1.0,1,8.810867
-0.9,4,8.871253
-1.0,3,8.914742
-1.0,1,8.930398
-1.0,1,8.949198
-1.0,1,8.96251
-1.0,1,8.981163
-0.9,2,9.016977
-0.9,2,9.052548
-0.9,4,9.100663
-1.0,1,9.119285
-1.0,1,9.135407
-1.0,1,9.155404
-1.1,2,9.194682
-1.1,2,9.224677
-1.2,3,9.264808
1.4,5,9.33223
-1.0,1,9.35115
-1.2,3,9.396284
-1.0,1,9.411347
-0.9,2,9.439838
-0.9,4,9.489239
-1.0,1,9.508104
-1.0,1,9.527228
-0.9,2,9.554538
-1.0,1,9.575881
-1.0,1,9.597377
-1.0,1,9.616029
-0.9,4,9.665835
-1.0,1,9.685479
-1.1,4,9.746128
-0.9,2,9.78128
-0.9,2,9.817859
-1.0,1,9.842907
-1.0,1,9.861037
-1.0,1,9.877537
-1.0,1,9.896181
-1.1,2,9.924644
-0.9,2,9.955449
-1.0,1,9.980577
-1.0,1,9.999274
-1.0,1,10.022896
-1.2,5,10.089731
-1.0,1,10.104881
-1.0,1,10.124957
-0.9,4,10.180736
-1.0,1,10.201188
-1.0,1,10.219754
-0.9,4,10.274242
-1.1,2,10.305172
-1.0,1,10.325806
-1.0,1,10.350501
-1.0,1,10.370299
-1.0,1,10.393396
-1.0,3,10.429678
-1.1,2,10.455746
-1.2,3,10.495551
-1.0,1,10.516816
-1.0,1,10.540687
-1.0,1,10.56032
-1.0,1,10.578997
-1.1,2,10.604942
-1.0,3,10.639475
-1.0,1,10.659612
-1.1,2,10.683794
-1.0,1,10.702317
-0.9,2,10.735335
-0.9,2,10.769495
-1.0,1,10.793505
-1.0,1,10.81063
-1.0,5,10.875613
-1.0,1,10.894144
-1.0,1,10.914174
-1.0,1,10.929836
-1.0,1,10.954679
-1.0,1,10.975507
-1.1,2,10.999308
-1.0,3,11.040681
-1.0,1,11.066056
-1.0,1,11.086215
-1.0,1,11.110446
-1.0,1,11.135876
-1.0,1,11.154718
-1.1,2,11.186929
-1.0,1,11.204808
-1.0,1,11.231069
-1.0,1,11.250327
-0.7,4,11.320009
-1.0,1,11.335713
-1.1,2,11.3661
-1.0,1,11.384707
-1.0,1,11.399129
-1.0,1,11.416245
-0.9,2,11.454828
-1.0,1,11.472188
-1.1,2,11.508262
-0.9,2,11.545439
-1.0,3,11.598563
-1.0,1,11.61719
-0.9,2,11.650384
-0.9,2,11.685294
-1.1,2,11.719994
-0.9,2,11.768811
-1.0,1,11.78813
-1.0,1,11.80545
-1.0,1,11.82536
-1.0,7,11.91042
-1.1,2,11.935059
-1.1,2,11.965383
-1.0,1,11.986282
-1.0,1,12.005008
-1.0,1,12.023119
-1.0,1,12.041729
-0.8,3,12.086274
-1.1,2,12.115257
-1.1,2,12.144838
-1.0,1,12.15893
-1.0,1,12.178899
-1.0,1,12.195586
-0.9,4,12.244566
-1.1,4,12.300874
-1.1,4,12.3559
-1.0,1,12.375526
-1.0,1,12.395682
-1.0,1,12.415264
-1.0,1,12.428109
-1.0,1,12.45427
1.0,1,12.473229
-1.0,1,12.490807
-1.0,1,12.508624
-1.0,1,12.526329
-1.0,1,12.545008
-1.0,1,12.561757
-1.0,3,12.599495
-1.0,1,12.616092
-1.0,1,12.652217
-1.0,1,12.671345
-1.1,2,12.70006
-1.3,4,12.750291
-1.2,5,12.809892
