#{"t_start": 1747755752.6343083, "env_id": "None"}
r,l,t
-0.9,2,6.097027
-1.0,1,6.118249
-1.0,1,6.134971
-0.9,2,6.189732
-1.1,2,6.229546
-1.0,1,6.250865
-1.0,1,6.285696
-1.1,2,6.319594
-1.0,1,6.341019
-1.0,1,6.362207
-1.0,1,6.385645
-1.0,1,6.41084
-0.9,2,6.446678
-1.1,2,6.496337
-1.0,1,6.52105
-1.0,1,6.545084
-1.0,1,6.566458
-1.2,5,6.645726
-1.1,2,6.689489
-1.0,3,6.745922
-1.1,2,6.785234
-1.0,3,6.840398
-1.0,3,6.885571
-1.0,1,6.905151
-0.9,2,6.945163
-0.9,2,6.992075
-1.0,1,7.021819
-1.0,1,7.046587
-1.0,1,7.071028
-1.1,2,7.111439
1.0,1,7.13898
-0.9,2,7.174475
-0.9,2,7.215448
-1.0,1,7.239247
-1.0,1,7.259882
-1.0,1,7.284202
-1.0,1,7.310867
-0.9,2,7.350472
-1.0,1,7.373638
-1.0,1,7.39258
-1.1,2,7.427071
-1.0,1,7.445882
-0.8,3,7.493054
-0.9,2,7.537197
-0.9,2,7.572475
-1.0,1,7.591609
-1.1,2,7.6281
-1.0,1,7.654853
-1.0,1,7.67565
-1.0,1,7.701837
-1.0,1,7.725667
-1.0,1,7.751352
-1.0,1,7.772831
-1.2,3,7.827765
-1.1,2,7.866329
-0.8,3,7.919368
-1.0,1,7.945551
-1.0,5,8.027932
1.0,1,8.045737
1.0,3,8.099092
-1.0,1,8.120289
-1.0,1,8.146049
-1.1,2,8.180096
-1.2,3,8.236091
-1.0,1,8.259074
-1.0,1,8.280183
-1.0,1,8.299862
-0.9,2,8.334907
-1.0,1,8.354679
-1.1,2,8.384413
-1.0,1,8.410207
-1.0,1,8.434122
-0.9,2,8.46962
-1.2,3,8.519723
-1.0,1,8.549006
-1.0,3,8.5976
-1.0,1,8.621864
-1.0,1,8.639442
-1.0,1,8.664358
-1.2,3,8.721015
-0.9,2,8.759878
-1.3,4,8.821894
-1.1,4,8.896189
-1.0,1,8.916334
-1.0,1,8.934336
-1.1,2,8.978173
-1.0,3,9.039437
-0.9,2,9.084565
-1.0,1,9.100722
-0.9,2,9.135715
-0.9,2,9.170223
-1.0,1,9.190794
-0.9,4,9.266354
-1.0,1,9.295129
-1.0,1,9.325479
-1.0,1,9.345143
-1.0,1,9.372903
-1.0,1,9.392138
-1.0,1,9.415324
-1.0,1,9.443577
-0.9,2,9.482977
-1.0,1,9.50775
-1.0,1,9.525904
-1.1,2,9.564459
-1.0,1,9.5862
-1.0,1,9.607929
-1.0,1,9.62605
-1.1,2,9.66809
-1.0,1,9.690315
-1.0,1,9.724287
-1.0,1,9.74813
-1.0,1,9.775818
-1.0,1,9.794829
-1.0,1,9.815566
-1.0,1,9.85039
-1.1,4,9.929355
-1.0,1,9.950561
-1.0,1,9.970219
-0.9,2,10.003619
-1.0,1,10.024327
-1.0,1,10.043553
-1.0,1,10.065227
-1.1,2,10.108665
-1.0,1,10.132859
-1.0,3,10.189533
-1.0,1,10.216896
-1.0,1,10.236622
