#{"t_start": 1747756559.9349813, "env_id": "None"}
r,l,t
-1.0,1,7.403008
-1.0,1,7.426167
-1.3,4,7.503791
-1.1,2,7.550511
-1.0,1,7.566727
-1.0,1,7.587918
-1.0,1,7.60772
-1.0,1,7.627873
-1.1,2,7.657867
-0.9,2,7.691113
-1.0,3,7.736215
-1.0,1,7.757875
-1.0,1,7.782765
-1.0,1,7.809425
-1.0,1,7.837817
-1.0,1,7.858099
-0.9,2,7.893714
-1.0,1,7.91852
-1.0,1,7.940139
-1.0,1,7.962377
-1.1,4,8.022675
-1.2,3,8.068833
-1.4,5,8.139305
-1.0,1,8.163965
-1.0,1,8.188858
-1.0,1,8.209145
-1.0,1,8.227803
-1.0,1,8.252783
-1.1,2,8.288355
-0.9,2,8.31795
-1.1,4,8.382109
-1.0,1,8.406367
-1.0,3,8.461389
-1.0,3,8.503671
-1.0,3,8.546843
-1.0,1,8.567563
-0.8,3,8.605724
-1.0,1,8.628893
-1.0,1,8.647552
-1.0,1,8.66778
-1.0,1,8.686916
-1.0,1,8.708002
-1.1,4,8.764168
-1.0,3,8.817648
-1.0,1,8.832644
-0.9,2,8.872597
1.0,1,8.893814
-1.0,1,8.915463
-1.1,2,8.942626
-1.0,1,8.962443
-1.0,1,8.987909
-0.9,2,9.016615
-1.0,1,9.032761
-1.1,2,9.068987
-0.8,3,9.114271
-1.0,1,9.13346
-1.2,3,9.179216
-1.0,1,9.199884
-1.0,1,9.220091
-1.0,1,9.237746
1.1,6,9.322912
-1.0,1,9.341016
-1.0,1,9.36315
-1.0,1,9.386307
-1.1,2,9.418122
-1.0,1,9.437916
-1.0,1,9.458252
-1.0,1,9.478511
-0.8,3,9.523137
-1.0,1,9.547906
-0.9,2,9.576735
-1.0,1,9.597904
-0.9,2,9.633016
-1.0,3,9.677634
-1.0,3,9.722324
-1.0,1,9.74125
-1.0,3,9.782023
-1.0,1,9.806867
-1.1,2,9.839903
-1.0,1,9.857246
-1.0,1,9.877904
-1.0,1,9.890998
-1.0,1,9.908627
-0.8,7,10.007982
-1.0,1,10.02481
-0.9,4,10.087492
-0.9,2,10.123246
-1.1,4,10.177247
-0.9,2,10.20244
-1.0,1,10.22865
-1.0,1,10.247647
-0.9,2,10.282936
-1.0,1,10.304419
-0.8,5,10.376776
-1.2,5,10.458562
-1.0,1,10.47877
-1.0,1,10.498633
-1.1,2,10.532964
-1.1,2,10.567508
-1.0,1,10.594381
-1.0,1,10.612678
-1.1,2,10.645872
-0.9,2,10.678407
-1.0,1,10.693147
-1.0,1,10.714285
-1.0,1,10.732411
-1.0,1,10.750028
-1.2,3,10.791766
-1.0,1,10.807982
-1.0,1,10.827525
-1.0,1,10.848665
-1.0,1,10.870725
-1.0,1,10.892244
-1.0,1,10.909048
-1.0,1,10.927829
-1.1,2,10.963028
-1.0,1,10.983756
-1.0,1,11.00259
-1.0,1,11.021793
-1.0,1,11.042586
-1.1,2,11.081998
-1.0,1,11.106038
-1.0,1,11.122206
-1.0,1,11.136672
-1.1,2,11.167377
-1.0,1,11.181813
-1.1,2,11.208492
-1.0,1,11.22645
-0.8,3,11.271283
-1.0,1,11.28809
-1.0,1,11.315283
-1.1,2,11.342935
-1.0,1,11.361591
-1.2,3,11.397338
-1.0,1,11.417443
-1.0,1,11.43312
-1.0,1,11.451775
-1.0,1,11.466979
-1.0,1,11.48257
-1.0,1,11.502898
-1.0,1,11.527802
-0.9,2,11.559748
-1.0,1,11.579708
-1.0,1,11.598664
-1.0,1,11.616658
-1.0,1,11.633335
-1.0,1,11.652092
-1.0,1,11.673521
-1.0,1,11.687707
-1.5,6,11.770321
-1.0,1,11.791134
-1.1,2,11.830871
-1.0,1,11.848688
-1.1,2,11.879953
-1.0,1,11.901921
-1.2,3,11.946218
-1.0,1,11.962257
-0.9,2,11.992061
-1.0,1,12.018445
-0.9,2,12.052778
-1.0,1,12.072454
-1.0,1,12.09751
-0.9,2,12.138166
-0.8,3,12.188161
-1.0,1,12.203264
-0.9,2,12.232852
-1.0,1,12.261895
-1.0,1,12.289469
-1.0,1,12.30866
-0.9,2,12.352719
-1.1,2,12.388028
-1.0,1,12.403779
-1.0,1,12.422501
-0.8,3,12.460652
-1.1,2,12.492354
-1.0,1,12.509652
-1.0,1,12.526935
-1.1,2,12.552849
-1.2,3,12.598832
-1.1,2,12.625132
-1.0,1,12.642599
-0.9,4,12.687043
-0.9,4,12.737914
-1.0,1,12.762811
-1.0,1,12.787611
-0.9,2,12.823113
-1.1,2,12.861764
-1.3,4,12.922578
-1.0,1,12.946301
-1.0,1,12.970134
-1.0,1,12.989409
-1.0,1,13.006637
-1.0,1,13.028266
-1.0,1,13.048598
-1.0,1,13.068324
1.0,1,13.085156
-1.1,2,13.112981
-1.0,1,13.137616
-0.9,2,13.166879
-1.1,10,13.287922
-1.0,1,13.30814
-0.9,4,13.361693
-1.1,2,13.393409
-0.9,2,13.421169
-1.0,1,13.442809
-1.3,8,13.551704
-1.1,2,13.583543
-1.0,1,13.602659
-1.1,2,13.63842
-1.0,1,13.65765
-1.0,1,13.677908
-1.0,1,13.693236
-1.0,3,13.731924
-0.9,2,13.756949
-1.0,1,13.779349
-0.9,2,13.811191
-1.1,2,13.839028
-1.1,2,13.8685
-1.0,1,13.887413
1.0,1,13.907389
-1.1,2,13.942436
-0.9,2,13.975859
-1.1,2,14.002605
-1.0,1,14.022584
-1.2,3,14.058273
-1.1,2,14.086844
-1.0,1,14.104002
-0.9,2,14.131631
-1.3,4,14.187313
-1.0,1,14.201462
-1.0,1,14.221671
-1.0,1,14.23735
-1.1,2,14.266291
-1.0,1,14.283446
-1.0,1,14.301772
-1.0,3,14.34389
-1.0,1,14.363287
-0.9,2,14.393406
-1.0,1,14.412429
-1.1,2,14.448896
-1.0,1,14.478968
-1.0,3,14.518825
-1.0,3,14.562529
-1.0,1,14.584487
-1.1,2,14.611258
-1.2,3,14.65226
-1.0,1,14.668505
-1.0,1,14.684244
-0.9,6,14.758574
-0.8,3,14.802555
-1.0,1,14.818647
-1.1,4,14.871636
-1.1,2,14.898186
-0.9,2,14.926889
-1.1,2,14.961983
-1.0,1,14.981712
-1.0,1,15.007464
-1.2,3,15.043221
-1.0,1,15.062123
-1.1,2,15.096632
-0.9,2,15.128067
-1.2,3,15.162903
-1.0,1,15.177969
-0.8,3,15.218415
-1.0,1,15.237117
-1.3,6,15.322135
-1.0,1,15.351501
-1.0,1,15.371168
-1.0,1,15.393378
-1.0,1,15.423736
-1.0,1,15.442544
-0.9,2,15.478403
-1.0,1,15.503023
-0.9,2,15.532352
-1.0,1,15.552774
-1.1,4,15.613159
-1.0,1,15.632818
-1.0,1,15.652493
-1.0,1,15.678385
-1.0,1,15.692014
-1.0,1,15.70927
-1.0,1,15.734036
-1.1,2,15.761512
-1.0,1,15.777745
-1.0,1,15.796749
-1.1,2,15.821825
-1.1,2,15.848021
-1.1,2,15.878065
-0.9,2,15.912446
-1.0,1,15.931387
-1.0,1,15.957071
-1.1,2,15.991665
-1.0,1,16.011271
-1.0,1,16.029393
-1.0,1,16.048021
-0.9,2,16.078799
-0.9,2,16.10813
-1.0,1,16.132425
-1.0,1,16.156319
-1.0,1,16.177601
-1.0,3,16.214237
-1.1,2,16.242231
-1.0,1,16.262934
-1.1,2,16.296596
-1.0,1,16.31809
-1.0,1,16.338418
-0.8,5,16.392997
-1.0,1,16.408318
-1.0,1,16.42742
-0.7,4,16.482832
-0.8,3,16.522234
-1.0,1,16.537604
-1.1,6,16.618195
-1.0,1,16.636022
-0.9,2,16.666955
-0.9,2,16.702222
-1.1,2,16.729464
-1.0,1,16.746547
-1.4,5,16.80338
-1.1,2,16.834651
-1.0,1,16.852728
-1.0,1,16.872003
-1.0,1,16.893215
-0.9,4,16.947723
-1.0,1,16.966966
-1.1,2,17.001811
-1.0,1,17.016139
-0.9,4,17.067195
-0.9,2,17.103182
-1.0,1,17.125745
-1.0,1,17.144626
-1.0,1,17.163729
-1.0,1,17.181821
-1.0,3,17.227395
-1.0,1,17.247873
-0.9,2,17.272773
-1.0,1,17.292361
-1.0,1,17.312496
-0.9,2,17.344922
-0.9,2,17.372045
-1.0,1,17.391739
-1.0,1,17.406115
-1.1,2,17.434934
-1.0,1,17.454882
-1.0,1,17.470352
-1.0,1,17.490548
-1.3,4,17.536471
-1.0,1,17.558745
-1.0,1,17.58076
-1.0,1,17.599781
-1.0,1,17.617317
-1.0,1,17.635471
-1.1,2,17.666665
-1.0,1,17.68169
-1.0,1,17.69911
-0.9,2,17.727815
-1.0,1,17.745574
-1.0,3,17.783273
-0.9,2,17.813942
-1.1,2,17.847932
-1.0,1,17.867151
-1.0,3,17.901665
-1.0,1,17.916247
-1.0,1,17.937137
-1.0,3,17.97643
-1.0,1,17.997663
