#{"t_start": 1747756765.8528306, "env_id": "None"}
r,l,t
-1.0,1,5.428724
-1.0,1,5.44412
-1.0,1,5.456011
-1.0,1,5.474885
-1.0,1,5.494773
-1.0,1,5.517511
-1.0,1,5.534213
-0.9,2,5.55861
-1.0,1,5.574873
-1.0,1,5.602165
-0.9,2,5.633551
-1.0,1,5.656886
-1.0,1,5.675975
-1.0,1,5.693744
-1.0,1,5.712488
-1.2,5,5.774622
-0.9,2,5.814233
-1.0,5,5.879322
-1.0,1,5.89942
-1.0,1,5.919437
-1.0,1,5.938627
-1.1,2,5.968508
-1.0,3,6.009751
-0.9,2,6.039204
-1.0,1,6.057342
-1.0,1,6.074519
-1.0,1,6.098321
-1.0,1,6.113948
-1.0,1,6.139465
-0.9,4,6.188813
-0.8,3,6.23389
-0.9,2,6.259584
-1.0,1,6.278899
-1.1,2,6.304483
-1.1,2,6.344642
-1.0,1,6.365739
-1.1,2,6.394587
-1.2,5,6.449112
-1.1,4,6.504925
-1.0,5,6.580433
-1.1,2,6.614342
-1.1,6,6.68881
-1.0,1,6.713001
-1.0,1,6.734752
-1.1,2,6.763898
-1.0,1,6.784465
-1.0,3,6.819197
-1.0,1,6.839432
-1.1,2,6.868292
-1.1,6,6.953956
-1.0,1,6.973431
-0.9,2,7.003918
-1.0,1,7.025998
-1.0,3,7.062356
-1.4,9,7.1712
-1.0,1,7.189468
-1.0,1,7.208503
-1.2,3,7.248334
-1.0,1,7.26317
-1.0,1,7.28735
-1.0,1,7.303593
-1.0,1,7.331978
-1.0,1,7.349723
-1.2,3,7.399317
-1.5,6,7.469706
-1.0,1,7.489871
-1.0,1,7.509526
-1.2,3,7.560485
-1.0,1,7.584682
-1.0,1,7.602674
-1.1,2,7.627554
-1.0,1,7.643688
-1.0,1,7.659813
-1.0,1,7.679435
-1.0,1,7.700856
-0.8,3,7.744107
-1.0,1,7.763947
-1.0,1,7.784201
-0.8,3,7.819786
-1.0,1,7.838413
-1.1,2,7.874754
-1.0,1,7.893322
-1.0,1,7.90849
-1.0,1,7.928411
-1.0,1,7.943902
-0.8,3,7.983762
-1.0,1,7.998789
-1.0,1,8.0196
-1.0,1,8.039936
-1.0,1,8.062681
-1.0,1,8.079823
-1.0,1,8.100924
-1.1,2,8.13307
-1.0,1,8.148861
-1.1,2,8.183544
-1.0,1,8.203656
-1.0,1,8.219759
-1.2,3,8.25518
-1.0,1,8.278472
-1.0,1,8.304803
-1.0,1,8.331264
-1.0,1,8.349872
-1.0,1,8.371811
-1.0,1,8.389598
-1.5,6,8.462816
-1.0,1,8.480884
-0.7,4,8.531465
-1.0,1,8.550697
-1.0,1,8.571291
-1.1,2,8.598592
-1.0,1,8.61783
-1.0,1,8.638571
-0.9,2,8.675072
-1.0,1,8.694796
-1.0,1,8.71672
-0.9,2,8.745239
-1.0,1,8.772596
-0.9,2,8.804845
-0.9,2,8.830905
-1.0,1,8.850705
-1.0,1,8.874529
-1.0,1,8.888226
-0.9,2,8.919414
-1.2,3,8.958558
-1.0,1,8.97887
-1.1,2,9.011076
-1.0,1,9.028946
-1.0,7,9.136142
-1.1,2,9.174486
-1.0,1,9.193165
-1.0,1,9.2103
-0.9,2,9.243706
-1.1,2,9.284482
-1.1,2,9.31717
-0.9,2,9.354984
-1.0,1,9.380799
-1.0,1,9.400956
-1.1,2,9.430581
-1.0,1,9.449724
-1.1,2,9.479038
-0.9,4,9.543505
-1.1,2,9.580585
-0.8,5,9.665919
-1.0,1,9.685513
-0.9,2,9.722261
-1.0,1,9.739138
-1.0,1,9.760263
-0.9,2,9.798925
-0.9,2,9.83472
-1.0,1,9.861456
-1.0,1,9.884163
-1.0,1,9.902353
-1.0,1,9.919493
-1.0,1,9.941665
-1.2,3,9.985098
-1.0,1,10.01135
-1.0,1,10.029865
-1.0,1,10.054374
-1.0,1,10.083715
-1.3,4,10.141134
-1.1,2,10.175428
-1.0,1,10.202163
-1.2,7,10.307643
-1.0,1,10.325769
-1.0,1,10.352044
-1.1,2,10.380876
-1.0,3,10.435868
-1.0,1,10.456514
-1.0,1,10.478674
-1.0,1,10.500355
-1.0,1,10.52456
-1.0,3,10.57098
-1.0,1,10.593225
-1.0,1,10.610344
-1.0,1,10.641139
-1.0,1,10.660795
-1.0,1,10.684937
-1.0,1,10.704277
-1.0,1,10.72393
-1.1,4,10.780487
-1.1,2,10.814201
-1.0,1,10.835917
-1.1,2,10.874758
-0.9,2,10.912534
-1.0,1,10.938811
-1.0,1,10.957488
-1.0,1,10.976625
-1.0,1,10.995865
-1.0,1,11.016698
-1.0,1,11.03745
-1.0,1,11.058203
-1.1,2,11.104565
-1.1,2,11.136372
-1.1,2,11.1661
-1.0,1,11.185837
-1.1,2,11.226193
-1.0,1,11.254756
-1.2,3,11.308331
-1.1,2,11.343014
-1.0,1,11.360372
-1.0,5,11.43424
-1.0,1,11.44936
-1.0,1,11.467768
-0.9,4,11.519113
-0.9,2,11.561219
-1.1,4,11.608756
-1.2,3,11.643699
-1.0,1,11.664525
-1.0,1,11.68452
-1.0,1,11.704701
-1.1,2,11.733505
-1.0,1,11.75427
-1.4,5,11.823991
-1.1,4,11.873336
-1.0,1,11.894648
-1.0,1,11.91886
-1.0,1,11.935682
-1.1,2,11.963794
-1.0,1,11.979186
-1.2,3,12.017822
-1.1,2,12.044376
-1.0,1,12.064011
-1.0,5,12.129071
-1.1,4,12.179737
-1.0,1,12.20063
-1.1,4,12.258184
-1.0,3,12.29994
-1.2,3,12.348773
-1.0,3,12.389289
-1.0,1,12.40555
-1.0,1,12.426013
-1.0,1,12.445217
-1.0,1,12.468599
-1.0,1,12.485518
-1.0,1,12.504339
-1.0,1,12.529063
-1.1,4,12.593911
-1.0,1,12.616273
-1.0,3,12.659647
-0.9,2,12.699488
-1.0,1,12.713122
-1.0,1,12.729529
-1.0,1,12.755553
-1.0,1,12.769408
-0.9,2,12.799166
-0.9,2,12.833193
-1.0,1,12.850686
-1.0,1,12.868125
-1.0,1,12.886412
-1.2,3,12.924152
-1.0,1,12.943487
-1.0,1,12.963888
-1.0,1,12.989819
-1.0,1,13.017714
-0.9,2,13.057024
-1.2,3,13.096244
-1.1,4,13.144353
-1.0,1,13.166094
-1.2,11,13.323698
-1.0,1,13.350504
-1.0,1,13.372184
-1.0,1,13.390854
-1.0,3,13.435968
-1.1,2,13.477295
-1.0,1,13.500336
-0.8,5,13.579646
-1.1,6,13.661366
-1.1,2,13.694951
-1.0,1,13.714752
-0.9,2,13.744664
-1.1,2,13.785057
-1.0,1,13.798786
-1.1,2,13.828955
-1.0,5,13.894727
-0.9,2,13.924239
-0.9,2,13.954217
-1.0,3,13.98928
