#{"t_start": 1748427807.0659666, "env_id": "None"}
r,l,t
-1.0,1,5.703776
-0.8,5,5.789689
-1.0,1,5.810455
-0.8,7,5.903363
-0.9,2,5.934305
-0.9,2,5.967561
-1.0,3,6.020341
-1.0,1,6.041778
-1.0,1,6.062802
-1.0,3,6.108449
-1.0,1,6.128649
-1.0,1,6.153381
-1.1,2,6.18839
-1.0,1,6.205087
-1.0,1,6.227026
-1.0,1,6.243495
-1.0,1,6.263385
-1.0,1,6.290315
-1.0,1,6.308508
-1.0,3,6.348836
-1.0,1,6.372612
-1.0,1,6.398174
-1.2,3,6.450359
-1.0,1,6.474175
-1.0,1,6.49459
-1.0,1,6.512078
-1.0,3,6.559148
-1.0,5,6.63393
-1.0,1,6.657609
-1.1,2,6.687792
-1.0,1,6.70312
-1.0,1,6.720855
-1.1,2,6.758588
-1.2,3,6.7985
-1.1,2,6.823619
-1.3,4,6.878305
-1.0,1,6.904646
-1.0,1,6.920459
-1.0,1,6.939743
-1.1,2,6.969422
-1.1,2,6.998612
-1.0,1,7.018622
-1.0,1,7.037105
-1.0,3,7.090408
-1.0,1,7.110498
-0.8,3,7.159281
-1.1,2,7.188532
-1.0,1,7.209568
-1.0,1,7.228966
-1.0,1,7.242908
-1.1,4,7.303575
-1.0,9,7.429268
-1.0,1,7.448447
-1.0,1,7.464734
-0.9,2,7.490576
-1.0,1,7.508891
-1.0,1,7.523243
-1.0,1,7.538398
-1.1,2,7.567979
-1.0,1,7.588475
-1.1,2,7.626826
-1.2,3,7.669545
-1.1,2,7.704349
-1.1,4,7.768693
-1.0,1,7.788944
-0.9,2,7.829563
-1.0,1,7.849414
-1.1,4,7.903609
-1.0,1,7.922597
-1.0,1,7.939126
-1.1,2,7.963263
-1.0,1,7.983076
-0.8,7,8.068681
-1.1,4,8.133624
-1.2,3,8.175094
-1.0,1,8.199914
-0.9,2,8.233883
-1.0,1,8.254309
-0.9,4,8.308447
-1.0,1,8.328067
-1.1,2,8.358894
-1.0,3,8.405438
-1.2,3,8.454051
-1.0,1,8.473482
-1.1,4,8.53424
-0.9,2,8.562045
-1.0,3,8.605102
-0.9,2,8.639039
-1.0,3,8.684845
-0.9,2,8.723791
-1.1,2,8.754901
-0.9,2,8.789051
-1.0,1,8.814331
-1.0,1,8.832888
-1.1,6,8.912763
-0.9,2,8.948215
-1.1,2,8.97912
-1.0,1,8.998739
-0.9,4,9.06285
-1.0,1,9.083763
-0.9,4,9.132809
-1.0,1,9.150012
-1.0,1,9.174036
-1.0,1,9.199188
-1.5,6,9.284231
-1.0,1,9.304377
-1.0,1,9.325063
-1.0,1,9.344047
-1.1,2,9.382833
-1.0,1,9.40543
-0.8,3,9.445397
-1.0,3,9.49068
-1.0,3,9.53501
-1.0,1,9.554348
-1.0,1,9.572827
-1.0,1,9.595237
-1.0,1,9.618586
-1.0,1,9.638398
-1.0,1,9.65906
-1.2,3,9.709108
-0.9,2,9.7398
-1.0,1,9.759334
-1.0,1,9.779223
-1.0,1,9.799042
-1.1,2,9.829172
-1.0,1,9.849119
-1.0,3,9.890227
-1.1,2,9.92068
-1.1,2,9.955602
-1.0,1,9.975688
-1.0,1,9.99399
-0.9,2,10.029578
-1.0,1,10.047078
-1.0,3,10.090483
-0.8,3,10.136699
-1.0,1,10.163506
-0.9,2,10.198396
-1.0,1,10.213003
-0.9,2,10.243867
-1.1,4,10.294446
-1.0,1,10.313955
-1.0,1,10.334042
-1.1,2,10.361766
-1.0,1,10.379261
-1.0,1,10.401788
-0.9,4,10.455112
-1.0,1,10.473606
-1.2,3,10.521157
-1.1,2,10.548605
-1.0,1,10.568126
-1.0,1,10.587397
-1.1,2,10.623889
-1.0,3,10.679716
-1.0,1,10.703425
-1.0,1,10.723199
-1.0,1,10.742807
-1.0,1,10.76365
-1.0,1,10.783296
-1.0,1,10.804558
-1.1,2,10.833958
-1.0,1,10.854089
-1.1,4,10.902101
-1.1,2,10.935038
-1.0,1,11.054004
-0.9,2,11.078666
-1.0,1,11.098742
-1.0,1,11.118793
-1.0,1,11.138521
-1.0,1,11.15826
-1.0,1,11.179351
-1.0,1,11.200756
-1.0,1,11.218826
-1.0,1,11.238442
-1.0,1,11.258569
-0.9,2,11.289713
-1.0,1,11.314413
-1.0,1,11.33328
-1.0,1,11.349317
-1.0,1,11.36985
-0.9,2,11.394191
-0.9,2,11.423391
-0.9,2,11.454834
-1.0,1,11.479227
-1.0,1,11.49942
-1.1,2,11.53274
-1.0,3,11.574678
-1.0,1,11.593243
-1.0,1,11.619174
-1.0,1,11.638194
-1.0,1,11.657696
-1.1,6,11.750179
-1.2,3,11.793415
-1.0,1,11.809622
-1.0,1,11.828187
-1.0,1,11.849634
-1.0,1,11.867754
-1.0,5,11.937988
-1.2,3,11.978742
-1.1,2,12.009596
-1.0,1,12.029593
-0.9,2,12.058778
-1.0,1,12.078175
-1.1,2,12.113117
-1.0,1,12.133114
-1.1,2,12.1637
-0.9,2,12.205518
-1.0,1,12.228605
-1.0,1,12.255353
