#{"t_start": 1747817012.4004107, "env_id": "None"}
r,l,t
-0.9,2,5.600744
-1.1,2,5.636449
-1.0,1,5.660289
-1.0,1,5.689527
-1.0,1,5.70744
-1.0,1,5.725709
-1.0,1,5.750365
-1.0,1,5.787338
-1.0,1,5.805838
-1.0,3,5.845602
-1.0,1,5.865321
-1.0,1,5.890348
-1.1,2,5.923667
-1.0,1,5.945442
-1.0,3,5.985519
-1.0,1,6.005534
-1.1,2,6.029691
-0.8,3,6.070634
-1.0,1,6.085866
-1.0,1,6.103729
1.2,3,6.146386
-1.1,2,6.180843
-1.0,1,6.193937
-1.0,1,6.213069
-0.8,3,6.258506
-1.0,1,6.274699
-1.0,1,6.29355
-1.1,4,6.343661
-1.0,1,6.360399
-1.0,3,6.400032
-1.0,1,6.41925
-1.0,1,6.440311
-1.0,1,6.454971
-1.0,1,6.474809
-1.1,4,6.520092
-1.0,3,6.563724
-1.0,3,6.60483
-1.0,1,6.624031
-1.0,1,6.643722
-1.0,1,6.665014
-0.9,4,6.714132
-0.9,2,6.744849
-1.1,2,6.780032
-1.0,1,6.799958
-0.9,2,6.830422
-1.0,1,6.849661
-0.9,4,6.910183
-1.0,1,6.925709
-0.9,2,6.960394
-1.0,1,6.980083
-1.0,1,6.999189
-1.1,2,7.029604
-1.0,1,7.055385
-1.0,3,7.094447
-1.0,1,7.113723
-1.0,3,7.153871
-1.0,1,7.169244
-1.1,2,7.195085
-1.1,2,7.224427
-1.0,1,7.245685
-1.1,2,7.275098
-1.1,2,7.30483
-1.0,3,7.344809
-1.0,1,7.364347
-1.0,1,7.38413
-1.1,2,7.409577
-1.0,1,7.429163
-0.9,2,7.453867
-1.0,3,7.491317
-1.0,1,7.509313
-1.0,1,7.525256
-1.4,5,7.589521
-1.0,1,7.610239
-1.0,1,7.628632
-1.1,2,7.653978
-0.9,4,7.707253
-0.9,2,7.734065
-0.9,2,7.75919
-1.0,3,7.798581
-1.0,1,7.814265
-0.8,3,7.849774
-1.0,3,7.894791
-1.0,1,7.914394
1.1,2,7.945091
-1.0,3,7.984905
-1.1,2,8.015197
-1.0,1,8.035658
-1.2,3,8.078685
-1.0,1,8.096114
-1.0,1,8.11381
-1.0,1,8.13502
-1.0,5,8.194706
-1.0,1,8.208187
-1.0,1,8.229773
-1.1,2,8.253607
-1.0,3,8.293918
-0.8,3,8.335098
-1.0,9,8.439395
-1.0,1,8.460092
-1.0,1,8.479107
-1.0,1,8.494532
-1.1,2,8.519337
-0.9,2,8.549309
-0.9,2,8.573818
-1.0,1,8.590148
-0.9,4,8.644357
-1.0,1,8.659513
-1.0,1,8.678841
-1.0,1,8.695196
-1.0,1,8.714713
-1.0,1,8.729517
-1.1,2,8.754057
-1.1,2,8.778814
-1.1,2,8.814444
-0.8,5,8.878625
-1.0,3,8.918916
-1.1,2,8.950857
-1.0,1,8.969076
-1.1,2,8.994447
-1.0,1,9.011331
-1.0,1,9.02924
-1.0,1,9.045429
-1.0,1,9.05999
-1.0,1,9.079285
-1.1,2,9.109504
-1.0,1,9.129426
-1.0,1,9.149469
-1.0,1,9.169881
-1.0,1,9.189496
-1.0,1,9.209425
-1.0,1,9.230574
-1.2,3,9.274604
-1.1,2,9.304009
-0.9,2,9.3298
-1.0,1,9.349836
-1.0,1,9.368755
-1.1,2,9.394212
-1.1,2,9.424798
-1.0,1,9.44413
-1.0,1,9.458486
-1.0,1,9.474671
1.0,1,9.496941
-1.3,4,9.543656
-1.1,4,9.594034
-1.1,4,9.648552
-0.9,2,9.674636
-1.0,1,9.692924
-1.1,2,9.724974
-1.0,1,9.744711
-1.0,1,9.76423
-1.0,3,9.803647
-1.0,3,9.84861
-1.0,1,9.865139
-1.0,3,9.904834
-0.9,2,9.938239
-1.3,4,9.984812
-1.0,1,10.003578
-0.9,2,10.030104
-1.0,3,10.07042
-1.0,1,10.08402
-1.0,1,10.100018
-1.1,2,10.126267
-1.1,4,10.174247
-1.0,1,10.193761
-1.1,2,10.218754
-1.0,1,10.234891
1.1,2,10.264818
-1.0,3,10.303341
-1.0,1,10.319731
-1.0,3,10.360706
-0.9,2,10.395331
-1.0,1,10.413905
-1.0,1,10.43569
-0.8,3,10.480518
-1.1,2,10.515043
-1.1,4,10.564934
-0.9,2,10.595408
-1.0,1,10.614336
-1.3,4,10.675641
-0.9,2,10.709727
-1.0,1,10.730747
-0.9,10,10.854415
-0.9,2,10.882352
-1.0,1,10.904501
-1.0,3,10.950029
-1.1,2,10.990058
-1.1,2,11.023901
-1.0,3,11.069771
-1.0,1,11.08867
-1.0,3,11.124387
-1.0,1,11.139996
-1.0,1,11.162705
-1.1,2,11.194672
-1.0,1,11.214303
-1.0,1,11.241907
-1.0,1,11.265428
-1.1,2,11.306012
-0.9,2,11.347124
-1.0,1,11.369545
-1.0,1,11.389477
-1.1,2,11.424459
-1.1,2,11.456271
-1.1,2,11.491303
-1.0,3,11.533595
-1.0,1,11.554915
-1.0,1,11.576357
-1.0,1,11.597236
-1.0,1,11.617225
-0.9,2,11.656139
-0.9,2,11.69043
-1.0,1,11.714891
