#{"t_start": 1747666913.5218923, "env_id": "None"}
r,l,t
-1.0,1,7.594318
-1.0,1,7.617172
-1.0,1,7.650005
-1.1,4,7.70245
-1.0,1,7.723648
-0.8,5,7.786478
-1.4,5,7.851647
-1.0,1,7.873263
-1.1,2,7.90671
-1.0,1,7.928082
-1.1,2,7.956821
-1.2,3,7.996509
-1.0,1,8.012709
-1.1,2,8.047661
-0.8,5,8.107558
-0.9,2,8.150305
-0.9,2,8.176549
-1.0,1,8.198671
-1.0,1,8.217261
-1.1,2,8.252031
-0.8,5,8.322835
-0.9,4,8.377667
-1.1,2,8.409095
-1.1,2,8.438777
-1.0,1,8.458068
-1.0,1,8.476601
-1.0,1,8.492775
-1.0,1,8.512997
-1.2,3,8.551482
-1.0,1,8.572981
-1.0,1,8.591288
-1.1,2,8.617461
-1.0,1,8.637275
-1.0,1,8.654039
-0.9,6,8.727831
-1.0,1,8.746407
-1.0,1,8.767174
-0.8,3,8.813859
-1.4,7,8.901978
-1.0,1,8.922671
-1.0,1,8.943071
-0.8,3,8.986435
-0.9,2,9.016672
-1.1,2,9.043111
-1.0,1,9.062125
-1.0,3,9.102361
-1.0,1,9.123118
-1.1,2,9.152064
-1.0,1,9.16682
-1.0,1,9.187284
-1.0,1,9.201458
-1.0,1,9.223917
-1.0,1,9.241536
-1.0,1,9.256827
-1.0,1,9.277156
-1.0,1,9.293215
-1.0,1,9.313448
-1.1,2,9.342721
-1.0,1,9.356819
-1.0,1,9.377956
-1.0,3,9.41724
-1.0,1,9.438277
-1.3,6,9.513071
-1.0,1,9.532574
-1.2,3,9.582009
-1.0,1,9.597295
-1.0,1,9.616531
-1.0,1,9.631833
-1.0,1,9.648187
-1.0,1,9.668348
-1.0,3,9.717512
-1.0,1,9.738017
-1.1,2,9.767789
-1.0,1,9.787075
1.0,1,9.810738
-1.0,1,9.827192
-1.0,1,9.8463
-1.0,1,9.862529
-1.0,1,9.876745
-1.0,1,9.896407
-1.0,1,9.912782
-1.0,3,9.958709
-1.0,1,9.976338
-1.0,1,9.99787
-1.0,1,10.017035
-1.0,1,10.036796
-0.9,6,10.117684
-1.0,1,10.136323
-1.0,1,10.152956
-1.0,1,10.172573
-1.1,2,10.207411
-1.0,1,10.227192
-1.0,1,10.247161
-1.0,1,10.266712
-1.0,1,10.286819
-1.0,1,10.308105
-1.0,1,10.326459
-1.0,1,10.346679
-1.1,4,10.397861
-0.9,2,10.427175
-1.1,2,10.458134
-1.0,1,10.477062
-1.0,1,10.495882
-1.0,1,10.51204
-1.0,1,10.53306
-1.1,2,10.563376
-1.0,1,10.582534
-1.0,1,10.602005
-1.0,1,10.622397
-0.9,2,10.65254
-1.1,2,10.682792
-1.0,1,10.698845
-1.0,1,10.722298
-0.9,4,10.773342
-1.0,1,10.791525
-1.1,2,10.822919
-1.0,1,10.847267
-1.0,1,10.862052
-0.8,3,10.900976
-1.1,4,10.952036
-1.0,1,10.971838
-1.0,1,10.992206
-1.0,1,11.01137
-1.0,1,11.032375
-1.0,1,11.052057
-0.9,2,11.077179
-1.0,1,11.0965
-0.9,2,11.122581
-1.0,1,11.147885
-1.0,1,11.168231
-1.0,1,11.187627
-0.9,2,11.216903
-1.0,1,11.23742
-1.4,5,11.292616
-1.0,1,11.312333
-1.0,1,11.327591
-0.9,2,11.362016
-1.0,1,11.378082
-1.4,5,11.436073
-1.0,3,11.47757
-1.0,1,11.497455
-1.0,1,11.518573
-1.0,1,11.538156
-1.0,1,11.557152
-1.0,1,11.58138
-1.0,3,11.618425
-1.0,1,11.637033
-1.1,4,11.687513
-1.0,1,11.707935
-1.0,1,11.727713
-1.0,5,11.794374
-1.1,2,11.827744
-1.0,3,11.868293
-1.1,2,11.897427
-0.9,2,11.927913
-1.1,2,11.957027
-0.9,2,11.987614
-1.0,3,12.031636
-1.0,1,12.046833
-0.9,2,12.072957
-0.9,4,12.121927
-1.0,1,12.14258
-1.0,1,12.16327
-1.0,1,12.183493
-0.7,6,12.252811
0.9,2,12.28227
-1.0,1,12.302102
-1.0,1,12.322269
-0.9,2,12.352124
-1.0,1,12.368423
-1.0,1,12.386842
-1.1,2,12.418205
-1.1,2,12.453109
-1.0,1,12.47275
-1.0,1,12.492099
-1.0,3,12.537255
-1.0,7,12.626148
-0.9,2,12.650299
-1.1,2,12.683024
-1.0,1,12.697537
-1.0,1,12.718466
-0.9,2,12.74898
-1.0,1,12.769056
-0.9,2,12.802467
-1.0,1,12.82408
-1.0,1,12.841718
-1.3,4,12.897015
-1.0,1,12.917197
-1.1,2,12.953305
-1.0,1,12.972726
-0.9,2,13.00701
-1.0,1,13.026557
-1.0,1,13.047278
-1.0,1,13.066483
-1.0,1,13.082603
-1.0,1,13.10221
-0.8,5,13.162215
-1.0,1,13.182662
-1.1,4,13.246954
-1.0,1,13.26661
-0.9,4,13.317191
-1.0,1,13.338005
-1.2,9,13.436735
-1.0,1,13.452719
-1.0,1,13.4705
-1.0,1,13.487125
-1.0,1,13.502227
-1.0,1,13.522309
-1.0,1,13.538113
-1.0,1,13.55742
-1.1,2,13.588804
-1.0,1,13.607065
-1.1,2,13.63309
-1.0,3,13.677581
-1.0,1,13.697218
-1.1,2,13.727269
-1.0,7,13.807042
-1.0,3,13.842331
-1.0,1,13.863104
-1.1,2,13.886467
-1.0,1,13.906853
-1.1,2,13.938092
-1.0,1,13.952232
-0.9,2,13.982817
-1.0,1,14.00295
-1.2,3,14.05225
-1.0,1,14.071347
-1.0,1,14.08743
-1.0,1,14.107607
-1.0,1,14.127712
-1.0,1,14.148238
-1.0,1,14.167353
-1.1,2,14.201332
-1.2,3,14.242246
-1.0,1,14.263506
-1.1,2,14.298422
-1.0,1,14.317851
-0.9,2,14.34576
-1.1,4,14.391533
-1.1,2,14.418792
-1.0,1,14.438242
-1.0,1,14.457898
-1.0,1,14.476552
-0.9,2,14.507773
-0.9,2,14.532606
-1.0,3,14.577595
-1.0,3,14.623543
-1.2,3,14.662593
-0.8,3,14.703185
-1.0,1,14.722063
-1.1,2,14.752121
-1.0,1,14.771416
-1.0,1,14.793874
-1.0,1,14.81297
-1.0,3,14.857206
-0.9,2,14.88144
-1.2,7,14.974132
-1.0,1,14.992457
-1.0,1,15.00752
-1.1,2,15.037318
-1.0,3,15.082073
1.0,1,15.102246
-1.0,3,15.142224
-1.1,2,15.173002
-1.0,3,15.219191
-1.0,1,15.238648
-1.0,1,15.258017
-1.0,1,15.271824
-1.2,3,15.311889
-1.0,1,15.331035
-1.0,1,15.347557
-1.0,1,15.367385
-1.0,1,15.387086
-0.9,2,15.417751
-1.1,2,15.452732
-1.1,2,15.481774
-1.1,2,15.513061
-0.7,6,15.592117
-1.1,2,15.617104
-1.0,1,15.633294
-1.0,1,15.65237
-0.9,2,15.678715
-1.0,1,15.695943
-0.9,2,15.722282
-1.0,1,15.737108
-1.0,1,15.758312
-1.0,3,15.797929
-0.8,5,15.857598
-1.0,1,15.877873
-1.2,3,15.91152
-1.1,2,15.946218
-1.0,1,15.966568
-0.8,3,16.006723
-1.1,2,16.031857
-1.1,2,16.062307
-1.0,1,16.082358
-0.8,3,16.123669
-1.1,4,16.176768
-1.0,1,16.198621
1.0,1,16.217771
-1.1,2,16.246802
-1.0,1,16.266029
-1.0,1,16.282422
-0.9,2,16.313341
-0.9,2,16.347569
-0.9,2,16.377039
-1.0,1,16.39788
-0.9,2,16.432647
-1.1,2,16.463016
-1.0,1,16.482395
-1.1,4,16.532334
-1.0,1,16.55279
-0.9,4,16.606352
-1.0,1,16.628909
-1.0,1,16.648422
-1.0,1,16.667823
-0.9,2,16.697978
-1.0,1,16.716897
-1.1,2,16.741549
-1.0,1,16.763193
-0.8,3,16.80208
-1.0,1,16.821895
-1.0,3,16.867488
-1.0,1,16.8817
-1.0,1,16.897356
1.1,2,16.928096
-1.2,3,16.966361
-1.0,1,16.988318
-1.0,1,17.007795
-0.9,4,17.057347
-1.1,2,17.086432
-1.0,1,17.102213
-1.0,1,17.118591
-1.0,1,17.139869
-0.9,2,17.166951
-0.8,3,17.207564
-1.0,1,17.228802
-1.3,6,17.313383
