#{"t_start": 1747666783.286366, "env_id": "None"}
r,l,t
-1.0,1,12.945905
-1.0,1,12.972159
-1.0,1,13.000413
-1.0,1,13.021586
-1.0,1,13.038286
-1.0,1,13.057897
-1.1,4,13.123225
-0.9,2,13.152564
-0.9,4,13.196918
-1.0,1,13.21812
-1.2,3,13.263002
-1.0,1,13.282329
-1.0,1,13.301384
-1.0,1,13.316968
-1.0,1,13.337853
-1.0,1,13.357292
-1.0,1,13.377397
-1.0,1,13.402517
-1.0,1,13.42267
1.0,1,13.450174
-1.0,1,13.466771
-0.9,2,13.498163
-1.1,4,13.552937
-1.0,1,13.572527
-1.1,2,13.612375
-0.9,4,13.677608
-1.0,1,13.696771
-0.8,3,13.733148
-1.2,3,13.775471
-1.3,4,13.827174
-1.0,1,13.8477
-0.8,7,13.937821
-1.0,1,13.956589
-1.0,1,13.972817
-1.1,2,14.002042
-1.0,1,14.022395
-1.0,1,14.037967
-0.9,2,14.062874
-1.0,1,14.082297
-1.0,1,14.102581
-1.1,2,14.132956
-1.0,1,14.153503
-1.1,2,14.188039
-1.1,4,14.253826
-1.0,1,14.279195
-1.0,1,14.303673
-1.0,1,14.326786
-1.0,1,14.347523
-1.0,1,14.374126
-1.2,3,14.417975
-0.9,2,14.457763
-1.1,2,14.493071
-0.9,2,14.53436
-1.0,1,14.554267
-1.0,1,14.5779
-1.0,1,14.599566
-1.0,1,14.618169
-1.0,1,14.637337
-1.0,3,14.704851
-1.0,3,14.754233
-1.0,1,14.778407
-1.0,1,14.803648
-0.9,2,14.838359
-0.8,5,14.915682
-0.9,2,14.953969
-1.0,1,14.977652
-1.0,1,15.004834
-1.0,1,15.033566
-0.8,3,15.079349
-0.8,3,15.142269
-1.0,1,15.167983
-1.0,1,15.19371
-1.0,1,15.2149
-1.0,3,15.2645
-1.1,2,15.293743
-1.0,1,15.31577
-1.0,3,15.374106
-1.0,1,15.399331
-0.9,2,15.433616
-1.1,4,15.497581
1.0,1,15.517224
-1.0,3,15.569817
-0.9,2,15.612723
-1.0,1,15.638373
-0.6,5,15.737715
-1.0,1,15.76392
-0.9,2,15.799612
-1.0,1,15.819262
-1.0,1,15.944629
-1.0,1,15.964326
-1.0,3,16.014297
-1.0,1,16.039135
-1.0,1,16.065331
-0.9,2,16.095564
-1.0,1,16.112651
-1.1,2,16.156039
-1.1,2,16.194829
-0.9,2,16.227678
-1.0,1,16.25338
-0.9,2,16.294201
-1.0,1,16.31437
-0.9,4,16.378325
-1.0,1,16.414056
-1.0,1,16.435224
-0.9,2,16.468461
-1.1,2,16.499675
-1.0,3,16.543987
-0.9,2,16.578799
-1.0,1,16.602554
-1.1,2,16.641445
-1.0,1,16.673176
-1.0,1,16.700349
-1.1,2,16.732211
-0.9,2,16.767929
-1.0,1,16.788555
-1.0,1,16.809228
-1.1,2,16.849006
-1.0,1,16.87365
-0.9,2,16.909504
-1.0,1,16.93818
-0.9,2,16.973914
-1.0,1,16.99857
-1.0,1,17.020775
-1.0,1,17.038896
-1.0,1,17.058535
-1.1,2,17.094455
-1.0,1,17.118789
-0.8,3,17.180003
-0.9,2,17.20947
-1.1,2,17.242731
-1.1,2,17.271957
-0.9,2,17.30794
-1.1,2,17.336942
-1.0,1,17.357355
-1.1,4,17.412002
-1.0,1,17.436737
-1.0,1,17.457982
-1.0,1,17.480462
-0.9,4,17.534379
-0.8,3,17.578462
-0.9,2,17.612591
-1.1,2,17.647248
-1.0,1,17.667037
-1.0,1,17.688051
-1.0,1,17.702216
-1.0,1,17.723802
-1.0,1,17.742914
-1.0,3,17.78438
-1.0,3,17.828952
-0.9,4,17.891473
-1.0,1,17.914344
-1.0,1,17.932121
-1.0,1,17.953048
-1.1,2,17.983169
-1.0,1,17.997821
-1.1,2,18.027014
-1.0,1,18.043593
-1.1,2,18.078738
-1.0,1,18.096948
-1.0,1,18.122433
-1.0,1,18.142015
-1.0,1,18.158985
-1.0,1,18.177414
-1.0,1,18.194036
-1.0,1,18.213091
-1.1,2,18.243853
-1.0,1,18.26385
-1.0,1,18.282779
-1.0,1,18.297852
-1.1,2,18.322669
-1.0,1,18.342752
-1.0,1,18.357304
-1.0,3,18.402251
-1.0,1,18.423009
-1.0,1,18.442651
-1.0,1,18.456693
-0.9,2,18.488247
-1.1,4,18.537578
-1.1,2,18.572805
-1.1,2,18.601459
-1.0,1,18.622557
-1.0,3,18.667423
-1.0,1,18.688388
-1.0,1,18.706985
-1.1,4,18.75741
-1.0,1,18.777954
-1.0,1,18.798213
-1.0,1,18.81759
-1.0,1,18.8374
-1.1,2,18.86173
-1.0,1,18.886325
-1.0,3,18.926562
-1.0,1,18.942879
-1.1,2,18.968201
-1.0,1,18.987653
-1.0,3,19.027215
-1.1,2,19.057647
-1.0,1,19.075878
-1.1,2,19.101665
-1.0,1,19.123542
-1.0,1,19.145523
-1.1,2,19.177696
-0.9,2,19.213804
-1.0,1,19.232933
-1.1,2,19.267209
-1.1,4,19.321959
-1.1,4,19.372845
-1.0,1,19.393291
-1.1,2,19.423172
-1.0,1,19.44298
-1.0,3,19.48252
-1.1,4,19.527557
-0.9,2,19.558861
-1.0,7,19.642093
-0.9,2,19.678865
-1.1,2,19.707213
-1.0,1,19.721304
-1.0,1,19.736945
-1.1,4,19.792139
-1.0,1,19.812809
-1.0,1,19.832061
-1.1,6,19.912418
-1.0,1,19.932029
-1.1,2,19.961332
-1.0,1,19.978033
-0.9,2,20.007441
-1.0,1,20.023065
-0.9,2,20.052364
1.0,1,20.072566
-1.0,1,20.09293
-1.0,1,20.106535
-1.0,1,20.121179
-0.9,2,20.147058
-1.0,3,20.186361
-1.0,1,20.21247
-1.0,1,20.23247
-1.1,4,20.286865
-1.0,3,20.322794
-0.8,3,20.367738
-1.1,2,20.397054
-1.0,1,20.412821
-1.0,1,20.432195
-1.0,1,20.452512
-0.9,2,20.483446
-1.1,2,20.51691
-1.0,1,20.532176
-1.0,1,20.55366
-0.9,2,20.586942
-1.0,1,20.607417
-1.1,2,20.632614
-1.0,1,20.652266
-1.0,1,20.667851
-1.1,2,20.69724
-1.0,1,20.718528
-1.2,3,20.759068
-1.0,1,20.776379
-1.0,1,20.792423
-1.0,1,20.810588
-1.1,2,20.841546
-1.0,1,20.857707
-1.0,1,20.872485
-1.0,1,20.8931
-0.9,2,20.917652
-0.9,2,20.948497
-1.1,2,20.977302
-1.0,1,20.998636
-1.0,1,21.018187
-1.0,1,21.033301
-1.0,1,21.046875
-1.0,1,21.068705
-1.0,1,21.08772
-1.0,3,21.133082
-1.0,1,21.152779
-1.0,1,21.172894
-1.0,7,21.253266
-1.0,1,21.272399
-1.0,1,21.292123
-1.0,1,21.31231
-1.0,1,21.331461
-1.0,1,21.352864
-1.0,1,21.372533
-1.1,2,21.403792
-1.0,1,21.426226
-1.1,2,21.458341
-1.0,1,21.477472
-1.0,1,21.497688
-1.1,2,21.52784
-1.0,1,21.546526
-1.1,2,21.57714
-1.0,1,21.597423
-1.0,1,21.615977
-1.0,1,21.631791
-1.0,1,21.647428
-1.0,1,21.667523
-1.0,1,21.687183
-1.0,1,21.702722
-1.1,2,21.732842
-0.8,3,21.781416
-0.9,2,21.808983
-1.0,1,21.827094
-0.9,2,21.856726
-1.0,1,21.871828
-1.0,1,21.892604
-1.0,1,21.911757
-1.0,3,21.952408
-0.9,2,21.982167
-1.2,3,22.022664
-1.0,1,22.042057
-1.0,1,22.062671
-0.9,4,22.116951
-1.1,2,22.152201
-1.0,1,22.171809
-0.9,4,22.216818
-1.0,1,22.238075
-1.0,1,22.257418
-1.2,3,22.297536
-1.0,1,22.316805
-1.0,1,22.338491
-1.0,1,22.358021
-1.0,9,22.477417
-1.0,1,22.496946
-1.1,2,22.531942
-1.0,1,22.552377
-1.1,2,22.583724
-1.0,3,22.622528
-1.0,1,22.64227
-0.9,2,22.67244
-1.0,1,22.691848
-0.9,2,22.723372
-1.0,1,22.748117
-1.0,1,22.768992
-1.0,1,22.787022
-1.0,3,22.827312
-0.9,2,22.8581
-1.0,1,22.877831
-1.0,1,22.897023
-1.1,2,22.927783
-1.1,2,22.963774
-1.0,1,22.981434
-1.0,1,22.997235
-1.0,1,23.016353
-1.0,1,23.038479
-1.0,1,23.057045
-0.9,2,23.087417
-1.0,1,23.110641
-1.0,3,23.153267
-1.0,1,23.177987
-1.0,3,23.222292
-1.0,3,23.262112
-0.9,4,23.313167
-1.1,2,23.343089
-1.2,3,23.383761
-1.1,2,23.417929
-1.1,2,23.448034
-1.0,1,23.47583
-1.0,1,23.497357
-0.8,3,23.542493
-1.0,7,23.631837
-1.2,3,23.666432
-1.1,2,23.698039
-1.1,2,23.727454
-1.1,2,23.758888
-1.1,2,23.793107
-1.0,1,23.811915
-1.3,4,23.863534
1.0,1,23.883001
-1.0,1,23.903664
-1.1,2,23.931752
-1.0,1,23.951984
-1.1,2,23.981819
-1.0,1,24.002511
-0.9,2,24.026889
-1.0,1,24.046996
-1.2,3,24.088807
-1.0,1,24.106752
-1.0,1,24.127504
-0.9,2,24.1531
-1.0,1,24.17272
-1.1,2,24.202566
-1.0,1,24.217553
-1.0,1,24.237229
-1.1,2,24.26787
-1.0,1,24.287976
-0.8,3,24.328863
-1.0,1,24.347719
-0.9,2,24.378395
-0.9,2,24.412197
-1.1,4,24.468929
-1.0,3,24.509004
-1.0,1,24.529488
-1.0,1,24.548258
-1.0,3,24.597982
-1.1,2,24.627337
-1.1,2,24.657385
-1.0,1,24.672311
-0.9,2,24.70188
-1.0,1,24.722462
-1.0,1,24.742155
-1.0,1,24.757676
-0.8,3,24.796788
-0.9,2,24.823091
-1.0,1,24.837051
-1.0,3,24.876558
-0.8,5,24.942304
-1.1,2,24.973122
-1.2,3,25.012146
-1.1,2,25.038306
-1.0,1,25.056953
-1.0,1,25.076715
-1.1,2,25.106436
-1.1,2,25.132438
-0.9,2,25.15774
-0.9,2,25.18725
-1.1,2,25.211952
-1.0,5,25.275795
-1.0,1,25.297132
-1.0,1,25.317791
-1.0,1,25.338378
-1.0,1,25.357656
-1.0,3,25.391946
-1.0,1,25.407851
-1.2,3,25.447927
-1.0,1,25.467995
-1.0,1,25.481055
-0.8,3,25.517423
-1.0,1,25.537336
-1.0,1,25.551903
-1.0,1,25.566659
-1.0,1,25.587324
-1.0,1,25.606987
-1.0,1,25.626271
-1.0,3,25.672436
-1.0,1,25.699713
-1.0,1,25.718915
-1.0,1,25.737324
-1.0,3,25.77718
-0.8,5,25.838193
-1.0,1,25.862653
-1.0,1,25.882245
-1.1,2,25.913931
-0.9,2,25.942997
-0.9,2,25.973655
-1.0,1,25.992225
-1.0,1,26.013001
-1.0,1,26.028255
-1.0,1,26.047485
-1.2,3,26.09549
-1.0,1,26.117106
-0.9,2,26.153817
-1.0,1,26.171872
-1.1,2,26.202559
-1.2,3,26.246587
-1.0,1,26.2663
-1.0,1,26.283721
-1.0,1,26.30302
-1.2,3,26.342585
-0.9,2,26.371156
-1.0,1,26.388395
-0.9,4,26.431903
-1.0,3,26.477272
-1.1,2,26.512445
-1.1,4,26.561661
-1.2,3,26.604421
-1.0,1,26.622589
-1.2,3,26.666688
-1.0,1,26.687557
-1.0,1,26.707943
-1.0,1,26.727072
-1.0,1,26.748171
-1.0,1,26.767289
-0.9,4,26.817124
-1.0,1,26.83831
-1.4,7,26.929204
-1.2,5,26.987149
-1.0,1,27.007187
-1.0,1,27.02703
-1.0,3,27.062738
-0.9,2,27.096626
-1.1,2,27.126941
-1.2,3,27.167196
-1.0,1,27.182783
-1.0,1,27.202166
-0.9,2,27.23258
-1.0,1,27.252279
-1.0,1,27.267384
-1.1,2,27.298375
-1.0,1,27.317621
-1.1,2,27.347349
-0.9,2,27.372726
-0.9,4,27.432152
-1.0,3,27.472038
-1.2,3,27.512034
-1.0,1,27.532794
-0.9,2,27.567252
-1.0,1,27.582343
-1.0,1,27.602826
-1.1,2,27.636437
-1.1,2,27.663028
-1.0,1,27.681442
-1.0,1,27.702328
-0.9,2,27.73289
-1.0,1,27.748772
-1.0,3,27.783664
-1.0,1,27.798707
-1.1,2,27.830136
-1.1,4,27.887503
-1.1,2,27.918396
-1.0,3,27.957195
-0.9,2,27.983894
-1.0,1,28.002612
-0.9,4,28.048156
-1.0,1,28.068544
-1.0,1,28.088355
-0.9,2,28.117265
-0.9,2,28.147515
-1.1,2,28.178277
