#{"t_start": 1747666392.709178, "env_id": "None"}
r,l,t
-1.0,1,9.880234
-1.3,4,9.970484
-1.0,1,10.004413
-1.0,1,10.031744
-1.0,1,10.062063
-1.0,1,10.095469
-1.0,1,10.118391
-0.9,2,10.164767
-0.9,2,10.206245
-1.0,1,10.229067
-1.0,1,10.259984
-1.0,1,10.288716
1.0,1,10.326593
-1.0,1,10.349391
-0.9,2,10.390651
-1.0,1,10.419367
-1.0,1,10.443828
-1.0,1,10.468422
-1.0,1,10.494087
-1.1,2,10.541231
-1.1,2,10.596189
-0.9,2,10.641216
-0.9,2,10.690215
-1.2,3,10.760365
-1.1,4,10.86795
-1.0,1,10.890781
-1.0,1,10.914266
1.0,1,10.940123
-1.0,1,10.964696
-1.0,1,10.9855
-1.0,1,11.009698
-1.0,1,11.034407
-1.0,1,11.058756
-1.0,1,11.085454
-1.1,4,11.155612
-1.0,1,11.176815
-1.0,1,11.202095
-1.0,1,11.228879
-1.0,1,11.256094
-0.9,4,11.325777
-0.9,2,11.379272
-1.0,3,11.43987
-1.0,1,11.467788
-1.0,1,11.495251
-1.1,2,11.538376
-1.0,1,11.564704
-0.9,2,11.613946
-1.0,1,11.649593
-1.0,1,11.676867
-1.0,1,11.705742
-1.0,1,11.734283
-0.9,2,11.785093
-1.0,1,11.809655
-1.0,1,11.834012
-1.0,1,11.859771
-1.0,1,11.885746
-1.0,1,11.915917
-1.0,1,11.935995
-1.0,1,11.961601
-1.0,1,11.978659
-1.0,1,11.999287
-0.8,3,12.053794
-1.1,2,12.096094
-1.0,1,12.126449
-1.1,2,12.164301
-1.0,1,12.191406
-1.0,1,12.214314
-1.0,1,12.240305
-1.0,1,12.265545
-1.0,1,12.289811
-1.2,3,12.343871
-1.0,1,12.375823
-0.9,2,12.412803
-1.0,1,12.441523
-1.1,2,12.483891
-1.1,2,12.528
-1.0,1,12.552315
-1.3,6,12.649676
-1.0,1,12.673314
-1.0,1,12.699411
-1.0,3,12.758789
-1.0,1,12.784142
-1.0,1,12.807981
-1.1,2,12.844892
-1.0,1,12.870705
-1.1,4,12.944345
-1.0,1,12.966139
-0.9,2,13.014811
-1.2,3,13.069598
-0.9,2,13.104649
-1.0,1,13.127506
-1.0,1,13.148752
-1.2,5,13.234436
-1.1,4,13.306436
-1.1,2,13.355445
-1.0,1,13.376928
-1.0,1,13.400234
-1.1,2,13.43786
-1.1,2,13.472522
-1.0,3,13.540405
-1.0,1,13.565906
-1.0,1,13.594912
-1.0,1,13.619389
-1.3,4,13.697374
-1.1,2,13.740639
-1.1,4,13.820869
-0.8,3,13.879905
-1.0,1,13.904788
-0.9,2,13.944191
-1.0,1,13.973635
-1.0,3,14.036447
-1.2,3,14.101832
-0.9,2,14.142239
