#{"t_start": 1747752788.0609398, "env_id": "None"}
r,l,t
-1.1,4,10.116047
-1.0,1,10.14383-0.1.0,5,10.29329-1.-1.2,3,10.388379
-1.0,1,10.425699
-0.7,10,10.610922
-1.0,7,10.734823
-1.0,1,10.772003
1.0,1,10.802526
-1.0,1,10.844837
-1.2,3,10.91765
--1.0,1,10.974012-1-1.3,12,11.408622
-1.0,1,11.452044
-1.1,2,11.563775
-1.2,3,11.67178
-1.0,1,11.72224
-1.0,1,11.760786
-1.1,2,11.97703
-1.1,8,12.588319
-1.0,1,12.650985
-1.1,6,12.972691
-1.0,1,13.03736
1.0,1,13.07331
-1.1,2,13.151977
-1.0,1,13.189184
-0.9,2,13.272849
-1.1,2,13.341411
-1.0,1,13.383671
-0.9,2,13.46191
-1.0,1,13.498311
-1.0,1,13.564886
-0.8,3,13.673641
-1.4,5,13.8193
-1.0,1,13.857392
-0.8,3,13.954286
-1.1,2,14.031964
-0.9,4,14.167993
-1.0,1,14.194404
-1.0,1,14.226523
-1.0,1,14.258636
-1.0,1,14.307044
-1.0,1,14.356389
-0.8,3,14.470275
-1.0,3,14.595999
-1.0,1,14.645645
-1.0,1,14.68934
-1.0,1,14.725592
-1.1,4,14.857125
-0.9,2,14.926916
-1.0,1,14.957322
-0.9,4,15.113258
-1.0,1,15.147767
-0.9,2,15.212146
-1.0,1,15.242652
-1.0,1,15.267678
-1.0,1,15.308883
-0.8,3,15.381972
-0.9,2,15.436871
-0.9,2,15.593282
-1.0,1,15.626807
-0.9,2,15.683003
-1-1.1,4,15.749482
-1.0,1,15.783943-0-1.1,2,15.865314-1-1.0,1,15.914911-1.1,2,15.981295
-1-0.8,5,16.169012
-1.0,1,16.205001
-0.9,6,16.424863
-1.0,1,16.482006
-1.0,1,16.536617
-1.0,1,16.573259
-1.0,3,16.788993
-1.0,3,16.869242
-1.1,2,16.948281
-1.0,1,16.97946
-1.1,2,17.028951
-1.0,1,17.06404
-1.0,1,17.099067
-1.1,2,17.178798
-1.1,2,17.257668
-1.0,1,17.290665
-1.1,2,17.359261
-1.0,1,17.38534
-0.9,2,17.457809
-1.0,1,17.50968-1.-1.1,4,17.655965
-1.0,1,17.689437
-0.9,2,17.777667
-0.9,2,17.883588
-1.0,1,17.92384-1.0,7,18.102282
-1.0,1,18.152734
-1.0,1,18.183282
-1-1.0,1,18.204535-0-0.7,4,18.39389
-0.9,6,18.666424
-1.2,3,18.781588
-0.9,4,18.964966
-1.0,1,18.995883
-0.9,6,19.379288
-1.0,1,19.421628
-1.0,1,19.474555
-0.8,5,19.683906
-1.0,1,19.720966
-1.2,5,19.873953
-1.0,1,19.902952
-1.0,9,20.221561
-1.0,3,20.328675
-1.1,2,20.394876
-1.1,4,20.534345
-1.0,1,20.573595
-0.9,4,20.716966
-1.0,1,20.759674
-1.0,1,20.814818
-1.0,1,20.855955
-1.2,3,20.953592
-1.0,3,21.071209
-1.0,1,21.109402
-1.1,2,21.177433
-1.0,1,21.220335
-1.0,1,21.262673
-1.0,1,21.319373
-1.1,2,21.400032
-0.9,4,21.506901
-1.0,1,21.548119
-1.0,1,21.614718
-0.9,2,21.66322-1.-1.0,1,21.70516-1.-1.3,4,21.827963
-1.0,1,21.874894
-0.8,5,22.0192-1.1-1.0,1,22.0430-0.9-0.9,2,22.1105-0.-1.0,3,22.217134
-1.3,6,22.374848
-0.9,2,22.43474-1.-1.1,4,22.595727
-1.0,1,22.63508-1.-1.1,2,22.68467-0.-0.8,3,22.77283-1-1.0,1,22.808022-0.8,3,22.897497
-1-1.0,5,22.991962
-1.0,1,23.029139
-1.1,2,23.094202-1-1.0,1,23.117061-1.0,1,23.164647
-1-1.1,2,23.206776-11.0,1,23.234047
-0.9,4,23.347826
-1.0,1,23.383575
-1.0,1,23.413403
-1.0,1,23.438364
1-1.0,1,23.452577-1-1.1,2,23.508227-1-1.0,1,23.547174
-1.0,1,23.585176-1-0.9,2,23.63379
--1.1,4,23.737764
--1.2,7,23.923987
-0.9,2,23.984209
-1.0,1,24.015737
--1.0,1,24.049093
-1.2,7,24.247373
-1.0,1,24.282689
-1.0,1,24.308982
-1.0,1,24.3362
-1.0,1,24.368308
-1.0,1,24.398632
-1.0,1,24.431725
-1.0,3,24.538409
-1.0,1,24.577056
-1.2,3,24.703042
-1.1,4,24.82886
-1.1,2,24.882845
-1.0,1,24.914356
-1.0,1,24.948412
-1.0,3,25.038861
-1.1,2,25.108668
-1.0,3,25.208838
-0.8,3,25.309196
-1.0,1,25.333434
-0.9,2,25.396401
-1.1,4,25.517937
-1.0,1,25.543571
-1.2,3,25.635039
-1.0,1,25.671369
-1.0,5,25.817219
-0.9,2,25.890074
-1.0,1,25.924186
-1.0,3,26.011504
-1.0,1,26.032367
-1.0,3,26.129463
-0.8,5,26.258169
-1.0,1,26.291357
-1.2,3,26.387018
-1.1,4,26.532316
-1.0,1,26.582437
-1.0,1,26.613122
-1.1,2,26.663077
-1.0,1,26.698184
-1.0,5,26.828089
-1.1,2,26.882437
-0.9,2,26.945219
-1.2,3,27.033363
-1.0,1,27.074111
-1.0,1,27.115607
-1.0,1,27.142502
-1.3,4,27.262784
1.4,9,27.518239
-0.9,2,27.563054
-0.9,2,27.624433
-1.0,1,27.655161
-1.0,1,27.67723
-1.0,1,27.707141
-0.7,8,27.950461
-1.1,4,28.061647
-0.9,2,28.108284
-1.0,1,28.132711
-1.0,1,28.161693
-1.0,1,28.192628
-1.0,1,28.222938
-0.9,2,28.280959
-0.9,2,28.339679
-1.0,1,28.366229
-1.0,1,28.399343
-1.0,1,28.434434
-0.9,2,28.51728
-0.9,2,28.598767
-1.0,3,28.706988
-0.9,4,28.8385
-1.4,5,29.002977
-1.0,1,29.055401
-0.8,3,29.143096
-0.6,5,29.563562
-1.2,3,29.652172
-1.0,1,29.686746
-1.0,1,29.722304
-1.1,2,29.785365
-1.4,7,29.997658
-0.8,3,30.107286
-1.0,3,30.203213
-1.0,1,30.236385
-1.1,2,30.303355
-1.1,2,30.373924
-1.0,1,30.412169
-1.0,1,30.439206
-1.0,1,30.474123
-0.9,2,30.531372
-1.0,1,30.562985
-1.0,1,30.594992
-0.9,2,30.681853
-0.9,2,30.748085
-0.9,4,30.861789
-0.9,2,30.928343
-1.0,3,31.029046
-1.0,1,31.058367
-0.9,4,31.183141
-1.2,7,31.387496
-1.0,1,31.422168
-0.8,3,31.526603
-1.0,1,31.561602
-1.3,6,31.756903
-0.7,4,31.887892
-1.1,2,31.964095
-1.0,1,32.002794
-1.0,1,32.036895
-1.0,1,32.067896
-1.0,1,32.118551
-1.0,3,32.23614
-0.9,2,32.331775
-1.1,2,32.391354
-1.1,4,32.521872
-1.1,4,32.636687
-1.0,1,32.678824
-1.0,1,32.718509
-1.0,1,32.751345
-1.1,2,32.851774
-0.7,8,33.208288
-0.9,2,33.289384
-1.0,1,33.3525
-1.0,1,33.413425
-1.0,1,33.468909
-1.0,1,33.531022
-1.0,1,33.558038
-1.0,1,33.619152
1.1,4,33.785688
-1.0,1,33.826285
-1.0,1,33.854736
-1.0,1,33.899539
-1.3,6,34.0993
-1.1,8,34.346981
-1.1,2,34.394289
-1.0,1,34.417628
-1.0,1,34.44818
-0.8,3,34.526057
-1.0,1,34.560878
-1.0,1,34.593793
-0.9,2,34.652146
-1.1,2,34.712813
-0.7,8,34.956886
-1.0,1,34.992356
-0.9,2,35.061583
-1.1,2,35.126155
-1.1,2,35.195862
-1.1,2,35.247946
-0.9,2,35.298431
-1.1,2,35.360692
-0.9,2,35.415424
-1.1,2,35.483477
1.1,4,35.609798
-1.0,1,35.639336
-1.0,1,35.667336
-1.0,1,35.696702
-1.1,2,35.755516
-1.0,1,35.782161
-0.9,2,35.837573
-0.9,6,36.009913
-1.0,1,36.044171
-1.0,3,36.114109
-1.2,3,36.186778
-1.2,3,36.256477
-0.9,2,36.30396
-1.0,1,36.334097
-1.2,5,36.493028
-1.0,1,36.526032
-1.0,1,36.559099
-1.0,1,36.604945
-1.0,1,36.638944
-1.0,1,36.666385
-1.0,1,36.696661
-1.0,1,36.727627
-1.0,3,36.815842
-0.9,4,37.133115
-1.0,1,37.167361
-1.0,1,37.201868
-1.0,1,37.24916
-0.9,4,37.385146
-1.0,1,37.425008
-1.0,3,37.529003
-1.0,1,37.56262
-1.1,2,37.637087
-1.0,1,37.714075
-1.0,1,37.744524
-0.9,2,37.798517
-1.0,1,37.834537
-1.0,3,37.933481
-0.9,2,37.984429
-1.1,2,38.040982
-1.1,2,38.094525
-1.0,1,38.123102
-1.0,3,38.202633
-0.9,2,38.259296
-1.0,1,38.298176
-1.0,5,38.423349
-1.0,1,38.452138
-1.1,6,38.619838
-1.0,1,38.652394
-1.0,1,38.69363
-1.0,1,38.721191
-0.9,2,38.771234
-1.0,1,38.795416
-1.1,2,38.847211
-0.8,7,39.03527
-1.1,2,39.121658
-1.0,1,39.168398
-1.0,1,39.207392
-1.0,1,39.252047
-1.0,1,39.276418
-0.7,8,39.518607
-1.0,3,39.610268
-0.9,4,39.722393
-0.9,2,39.782886
-1.3,6,39.942883
-1.0,1,39.978727
-1.1,2,40.038874
-1.0,1,40.075587
-1.0,1,40.108581
-1.1,4,40.254739
-1.0,1,40.284256
-0.9,2,40.341738
-1.1,4,40.468908
-1.3,12,40.849338
-0.8,3,40.924646
-1.1,2,40.97913
-1.0,1,41.017291
-1.0,1,41.042241
-1.0,1,41.089366
-0.9,2,41.134543
-1.1,4,41.259944
-1.1,2,41.304885
-1.1,2,41.352019
-1.0,1,41.39268
-1.1,2,41.438133
-1.1,4,41.553129
1.1,2,41.610243
-0.9,2,41.658055
-0.9,2,41.695806
-1.0,1,41.725633
-0.9,2,41.77968
-1.0,1,41.803581
-1.0,1,41.842878
-1.0,1,41.87796
-1.2,5,42.010301
-0.9,2,42.065569
-1.0,1,42.095172
-1.0,1,42.127982
-0.9,2,42.188016
-0.9,4,42.308207
-1.0,1,42.344917
-1.0,1,42.402466
-0.8,5,42.523517
-0.9,2,42.581613
-1.0,1,42.614146
-1.0,1,42.642644
-0.9,6,42.833862
